Timeline,Start time,Duration,Row,Instance number, ,25 Build Up,Attack,BS,BS Outcome - Direct Ball Win DUKE,BS Outcome - Direct Ball Win JMU,BS Outcome - Direct turnover DUKE,BS Outcome - Direct turnover JMU,BS Outcome - In Direct Ball Win DUKE,BS Outcome - In Direct Ball Win JMU,BS Outcome - In Direct turnover DUKE,BS Outcome - In Direct turnover JMU,BS Outcome - New BS DUKE,BS Outcome - New BS JMU,Ball Start,Circle Entry,From Zone DUKE,From Zone JMU,Goal Type,Outcome +,Outcome -,Outcome Neutral,Presses,Scouting,Set Piece,Shoot Out,Shoot Out Score,Shoot Outs,Start Type DUKE,Start Type JMU,To Zone DUKE,To Zone JMU,Ungrouped,Notes,Flags
Duke vs JMU,128.58987414666487,1.0,Start,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 11v11 JMU, Out of Conf, Home Game, Q0, Regular Season, DUKE 0 - 0  JMU",,
Duke vs JMU,1252.5950654800004,1.0,Start,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 11v11 JMU, Out of Conf, Home Game, Q1, Regular Season, DUKE 0 - 0  JMU",,
Duke vs JMU,2992.4181864833336,1.0,Start,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 11v11 JMU, Out of Conf, Home Game, Q2, Regular Season, DUKE 0 - 1  JMU",,
Duke vs JMU,4254.036829315665,1.0,Start,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 10v11 JMU, Out of Conf, Home Game, Q3, Regular Season, DUKE 0 - 3  JMU",,
Duke vs JMU,129.79555176533276,0.0,Labels,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,,", ",,
Duke vs JMU,137.80224643066498,0.0,Labels,2,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To D25 DUKE,,,,
Duke vs JMU,141.25813903633386,0.0,Labels,3,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs JMU,146.53993112299867,0.0,Labels,4,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,,
Duke vs JMU,149.47877450433222,0.0,Labels,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid JMU,", ",,
Duke vs JMU,158.16026489100068,0.0,Labels,6,,,,,,,,,,,,,,,,,,From AMid JMU,,,,,,,,,,,,,,,,,
Duke vs JMU,159.36847162766682,0.0,Labels,7,,,,,,,,,,,,,,,,,,From AMid JMU,,,,,,,,,,,,,To D25 DUKE,,,,
Duke vs JMU,175.49531087266587,0.0,Labels,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,,", ",,
Duke vs JMU,191.4192706593326,0.0,Labels,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,,", ",,
Duke vs JMU,202.23195967999933,0.0,Labels,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,,", ",,
Duke vs JMU,205.68094534099944,0.0,Labels,11,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To AMid DUKE,,,,
Duke vs JMU,213.96163917966652,0.0,Labels,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid DUKE,,", ",,
Duke vs JMU,223.26906746233297,0.0,Labels,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid DUKE,,", ",,
Duke vs JMU,230.14807292733258,0.0,Labels,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid DUKE,,", ",,
Duke vs JMU,235.38534891933364,0.0,Labels,15,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,To A25 DUKE,,,,
Duke vs JMU,244.812700127334,0.0,Labels,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To A25 DUKE,,", ",,
Duke vs JMU,248.04847440633284,0.0,Labels,17, ,,,,,,,,,,,,,,,Right,From A25 DUKE,,,,,,,,,,,,,,,,,,
Duke vs JMU,252.09333671333195,0.0,Labels,18,,,,,,,,,,,,,,,,,From A25 DUKE,,,CE DUKE,ACE-0 DUKE,,,,,,,,,,To Circle DUKE,,,,
Duke vs JMU,253.20735539366603,0.0,Labels,19,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,,,
Duke vs JMU,256.05700018433146,0.0,Labels,20,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,To D25 JMU,,,
Duke vs JMU,263.79764479733274,0.0,Labels,21,,,,,,,,,,,,,,,,,,From D25 JMU,,,,,,,,,,,,,,,,,
Duke vs JMU,264.9166249886657,0.0,Labels,22,,,,,,,,,,,,,,,,,,From D25 JMU,,,,,,,,,,,,,To AMid DUKE,,,,
Duke vs JMU,275.47660855366695,0.0,Labels,23,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,,,
Duke vs JMU,276.7387029893319,0.0,Labels,24,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,To D25 JMU,,,
Duke vs JMU,278.1532747323323,0.0,Labels,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid JMU,", ",,
Duke vs JMU,283.52528676200023,0.0,Labels,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid JMU,", ",,
Duke vs JMU,287.414407452666,0.0,Labels,27,,,,,,,,,,,,,,,,,,From DMid JMU,,,,,,,,,,,,,,To D25 JMU,,,
Duke vs JMU,290.0466807259983,0.0,Labels,28,,,,,,,,,,,,,,,,,,From D25 JMU,,,,,,,,,,,,,,To DMid JMU,,,
Duke vs JMU,292.93535898799865,0.0,Labels,29,,,,,,,,,,,,,,,,,,From D25 JMU,,,,,,,,,,,,,,To D25 JMU,,,
Duke vs JMU,295.3697093486658,0.0,Labels,30,,,,,,,,,,,,,,,,,,From D25 JMU,,,,,,,,,,,,,,To DMid JMU,,,
Duke vs JMU,300.31029926733305,0.0,Labels,31,,,,,,,,,,,,,,,,,,From DMid JMU,,,,,,,,,,,,,,To AMid JMU,,,
Duke vs JMU,302.4451318659991,0.0,Labels,32,,,,,,,,,,,,,,,,,,From DMid JMU,,,,,,,,,,,,,,,,,
Duke vs JMU,303.53030630399866,0.0,Labels,33,,,,,,,,,,,,,,,,,,From AMid JMU,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs JMU,309.81605750533396,0.0,Labels,34,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,,
Duke vs JMU,311.2184423813321,0.0,Labels,35,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,To AMid JMU,,,
Duke vs JMU,312.79586887666585,0.0,Labels,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To A25 JMU,", ",,
Duke vs JMU,320.45542362133284,0.0,Labels,37,,,,,,,,,,,,,,,,,,From A25 JMU,,,,,,,,,,,,,,To A25 JMU,,,
Duke vs JMU,326.48743006366584,0.0,Labels,38,,,,,,,,,,,,,,,,,,From A25 JMU,,,,,,,,,,,,,,To AMid JMU,,,
Duke vs JMU,328.6440423046651,0.0,Labels,39,,,,,,,,,,,,,,,,,,From A25 JMU,,,,,,,,,,,,,,To A25 JMU,,,
Duke vs JMU,330.8587966179983,0.0,Labels,40,,,,,,,,,,,,,,,,,,From AMid JMU,,,,,,,,,,,,,,,,,
Duke vs JMU,332.28863178100033,0.0,Labels,41,,,,,,,,,,,,,,,,,,From A25 JMU,,,,,,,,,,,,,To D25 DUKE,,,,
Duke vs JMU,333.80679264866563,0.0,Labels,42,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs JMU,335.37392206766566,0.0,Labels,43,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,,,,
Duke vs JMU,336.5881513139996,0.0,Labels,44,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,To AMid JMU,,,
Duke vs JMU,338.74596134466543,0.0,Labels,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To A25 JMU,", ",,
Duke vs JMU,340.87176666399944,0.0,Labels,46,,,,,,,,,,,,,,,,,,From AMid JMU,,,,,,,,,,,,,,,,,
Duke vs JMU,341.8664278253331,0.0,Labels,47,,,,,,,,,,,,,,,,,,From A25 JMU,,,,,,,,,,,,,To D25 DUKE,,,,
Duke vs JMU,343.5300145163326,0.0,Labels,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,,", ",,
Duke vs JMU,346.5440900170003,0.0,Labels,49,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,,,,
Duke vs JMU,353.52487602766547,0.0,Labels,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 JMU,", ",,
Duke vs JMU,360.06811847200015,0.0,Labels,51,,,,,,,,,,,,,,,,,,From D25 JMU,,,,,,,,,,,,,,To DMid JMU,,,
Duke vs JMU,367.7230702893328,0.0,Labels,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid JMU,", ",,
Duke vs JMU,371.223368189333,0.0,Labels,53,,,,,,,,,,,,,,,,,,From DMid JMU,,,,,,,,,,,,,,To AMid JMU,,,
Duke vs JMU,375.0635177969996,0.0,Labels,54,,,,,,,,,,,,,,,,,,From AMid JMU,,,,,,,,,,,,,,To A25 JMU,,,
Duke vs JMU,376.284822727333,0.0,Labels,55,,,,,,,,,,,,,,,,,,From AMid JMU,,,,,,,,,,,,,,,,,
Duke vs JMU,377.5771293489998,0.0,Labels,56,,,,,,,,,,,,,,,,,,From A25 JMU,,,,,,,,,,,,,To D25 DUKE,,,,
Duke vs JMU,379.1107305263326,0.0,Labels,57,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs JMU,392.211151558998,0.0,Labels,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid DUKE,,", ",,
Duke vs JMU,394.8825335720002,0.0,Labels,59,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs JMU,398.68747161500005,0.0,Labels,60,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To D25 DUKE,,,,
Duke vs JMU,401.3158446029995,0.0,Labels,61,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs JMU,418.8801710953325,0.0,Labels,62,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,,
Duke vs JMU,420.30187731099807,0.0,Labels,63,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,To D25 JMU,,,
Duke vs JMU,421.8304202019999,0.0,Labels,64,,,,,,,,,,,,,,,,,,From D25 JMU,,,,,,,,,,,,,,To DMid JMU,,,
Duke vs JMU,425.60468811466734,0.0,Labels,65,,,,,,,,,,,,,,,,,,From DMid JMU,,,,,,,,,,,,,,To D25 JMU,,,
Duke vs JMU,432.1728428386666,0.0,Labels,66,,,,,,,,,,,,,,,,,,From D25 JMU,,,,,,,,,,,,,,,,,
Duke vs JMU,433.60404661466555,0.0,Labels,67,,,,,,,,,,,,,,,,,,From D25 JMU,,,,,,,,,,,,,To A25 DUKE,,,,
Duke vs JMU,439.26830806166475,0.0,Labels,68, ,,,,,,,,,,,,,,,Middle,From A25 DUKE,,,,,,,,,,,,,,,,,,
Duke vs JMU,443.67983822566663,0.0,Labels,69,,,,,,,,,,,,,,,,,From A25 DUKE,,,"Shot DUKE, CE DUKE, Chance DUKE",,,,,,,,,,,To Circle DUKE,,,,
Duke vs JMU,447.82146855533335,0.0,Labels,70,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,,,
Duke vs JMU,448.9875388413326,0.0,Labels,71,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,To D25 JMU,,,
Duke vs JMU,452.2654342226663,0.0,Labels,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 JMU,", ",,
Duke vs JMU,455.3500443593333,0.0,Labels,73,,,,,,,,,,,,,,,,,,From D25 JMU,,,,,,,,,,,,,,To DMid JMU,,,
Duke vs JMU,457.77815802400085,0.0,Labels,74,,,,,,,,,,,,,,,,,,From D25 JMU,,,,,,,,,,,,,,,,,
Duke vs JMU,459.4461827283323,0.0,Labels,75,,,,,,,,,,,,,,,,,,From DMid JMU,,,,,,,,,,,,,To D25 DUKE,,,,
Duke vs JMU,464.4961848213332,0.0,Labels,76,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs JMU,471.53549192033194,0.0,Labels,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,,", ",,
Duke vs JMU,480.97755055366605,0.0,Labels,78,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To AMid DUKE,,,,
Duke vs JMU,482.9583320656665,0.0,Labels,79,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,,
Duke vs JMU,484.6577548996672,0.0,Labels,80,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,To DMid JMU,,,
Duke vs JMU,489.6915783403333,0.0,Labels,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid JMU,", ",,
Duke vs JMU,492.60459568033195,0.0,Labels,82,,,,,,,,,,,,,,,,,,From DMid JMU,,,,,,,,,,,,,,To D25 JMU,,,
Duke vs JMU,496.8116875996663,0.0,Labels,83,,,,,,,,,,,,,,,,,,From D25 JMU,,,,,,,,,,,,,,To DMid JMU,,,
Duke vs JMU,506.7720181020003,0.0,Labels,84,,,,,,,,,,,,,,,,,,From DMid JMU,,,,,,,,,,,,,,To AMid JMU,,,
Duke vs JMU,512.3561999776663,0.0,Labels,85,,,,,,,,,,,,,,,,,,From AMid JMU,,,,,,,,,,,,,,To A25 JMU,,,
Duke vs JMU,522.8651535026656,0.0,Labels,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To A25 JMU,", ",,
Duke vs JMU,531.0534152033325,0.0,Labels,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To A25 JMU,", ",,
Duke vs JMU,534.8401193073331,0.0,Labels,88,,,,,,,,,,,,,,,,,,From A25 JMU,,,,,,,,,,,,,,To AMid JMU,,,
Duke vs JMU,540.3654234223327,0.0,Labels,89,,,,,,,,,,,,,,,,,,From AMid JMU,,,,,,,,,,,,,,To A25 JMU,,,
Duke vs JMU,559.2825956729997,0.0,Labels,90,,,,,,,,,,,,,,,,,,From A25 JMU,,,,,,,,,,,,,,To A25 JMU,,,
Duke vs JMU,562.2779325453339,0.0,Labels,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To A25 JMU,", ",,
Duke vs JMU,565.7485974803327,0.0,Labels,92,,,,,,,,,,,,,,,,,,From A25 JMU,,,,,,,,,,,,,,To AMid JMU,,,
Duke vs JMU,567.3603899219988,0.0,Labels,93,,,,,,,,,,,,,,,,,,From A25 JMU,,,,,,,,,,,,,,To DMid JMU,,,
Duke vs JMU,568.6197786283332,0.0,Labels,94,,,,,,,,,,,,,,,,,,From AMid JMU,,,,,,,,,,,,,,To AMid JMU,,,
Duke vs JMU,579.6439358696649,0.0,Labels,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To A25 JMU,", ",,
Duke vs JMU,591.4322236506662,0.0,Labels,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To A25 JMU,", ",,
Duke vs JMU,594.3840148906655,0.0,Labels,97,,,,,,,,,,,,,,,,,,From A25 JMU,,,,,,,,,,,,,,To AMid JMU,,,
Duke vs JMU,595.6059176679994,0.0,Labels,98,,,,,,,,,,,,,,,,,,From A25 JMU,,,,,,,,,,,,,,To A25 JMU,,,
Duke vs JMU,599.7930402826653,0.0,Labels,99,,,,,,,,,,,,,,,,,,From A25 JMU,,,,,,,,,,,,,,,,,
Duke vs JMU,601.0734952500002,0.0,Labels,100,,,,,,,,,,,,,,,,,,From A25 JMU,,,,,,,,,,,,,To D25 DUKE,,,,
Duke vs JMU,604.687906029332,0.0,Labels,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,,", ",,
Duke vs JMU,616.7110466883317,0.0,Labels,102,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs JMU,620.3683870839992,0.0,Labels,103,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To D25 DUKE,,,,
Duke vs JMU,621.843453562999,0.0,Labels,104,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs JMU,627.3968793289991,0.0,Labels,105,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,,
Duke vs JMU,629.5027647663328,0.0,Labels,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid JMU,", ",,
Duke vs JMU,636.1617363599997,0.0,Labels,107,,,,,,,,,,,,,,,,,,From AMid JMU,,,,,,,,,,,,,,,,,
Duke vs JMU,637.251823768666,0.0,Labels,108,,,,,,,,,,,,,,,,,,From AMid JMU,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs JMU,640.3414167243326,0.0,Labels,109,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,,
Duke vs JMU,641.9915971703318,0.0,Labels,110,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,To AMid JMU,,,
Duke vs JMU,649.4673342866664,0.0,Labels,111,,,,,,,,,,,,,,,,,,From AMid JMU,,,,,,,,,,,,,,,,,
Duke vs JMU,650.8557393960007,0.0,Labels,112,,,,,,,,,,,,,,,,,,From AMid JMU,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs JMU,653.9941415870002,0.0,Labels,113,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,,
Duke vs JMU,656.5295598163323,0.0,Labels,114,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,To AMid JMU,,,
Duke vs JMU,662.0111250109985,0.0,Labels,115, ,,,,,,,,,,,,,,,Middle,,From AMid JMU,,,,,,,,,,,,,,,,,
Duke vs JMU,663.0454619646667,0.0,Labels,116,,,,,,,,,,,,,,,,,,From AMid JMU,,CE JMU,ACE-0 JMU,,,,,,,,,,To Circle JMU,,,,
Duke vs JMU,664.3400389553323,0.0,Labels,117,,,,,,,,,,,,,,,,,,From AMid JMU,,,,,,,,,,,,,,,,,
Duke vs JMU,666.360114605666,0.0,Labels,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,,", ",,
Duke vs JMU,669.3828951006665,0.0,Labels,119,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs JMU,671.1663505586656,0.0,Labels,120,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To AMid DUKE,,,,
Duke vs JMU,684.4048419046666,0.0,Labels,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid DUKE,,", ",,
Duke vs JMU,690.0770993046672,0.0,Labels,122,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,To A25 DUKE,,,,
Duke vs JMU,704.638687923666,0.0,Labels,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To A25 DUKE,,", ",,
Duke vs JMU,712.5296743736656,0.0,Labels,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To A25 DUKE,,", ",,
Duke vs JMU,715.4725682489983,0.0,Labels,125, ,,,,,,,,,,,,,,,Middle,From A25 DUKE,,,,,,,,,,,,,,,,,,
Duke vs JMU,718.1420501220001,0.0,Labels,126,,,,,,,,,,,,,,,,,From A25 DUKE,,,"Shot DUKE, CE DUKE, Chance DUKE",,,,,,,,,,,To Circle DUKE,,,,
Duke vs JMU,721.0572392606654,0.0,Labels,127,,,,,,,,,,,,,,,,,From A25 DUKE,,,"CE DUKE, PC Win DUKE",,,,,,,,,,,To Circle DUKE,,,,
Duke vs JMU,759.4048715790004,0.0,Labels,128,,,,,,,,,,,,,,,,,,,,,,,,,PC,,,,,,,,", ",,
Duke vs JMU,773.8638677159985,0.0,Labels,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", ",,
Duke vs JMU,775.300157394665,0.0,Labels,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 JMU,", ",,
Duke vs JMU,776.7115315583341,0.0,Labels,131,,,,,,,,,,,,,,,,,,From D25 JMU,,,,,,,,,,,,,,To DMid JMU,,,
Duke vs JMU,778.7512293239992,0.0,Labels,132,,,,,,,,,,,,,,,,,,From D25 JMU,,,,,,,,,,,,,,To AMid JMU,,,
Duke vs JMU,783.2634097336669,0.0,Labels,133,,,,,,,,,,,,,,,,,,From AMid JMU,,,,,,,,,,,,,,To A25 JMU,,,
Duke vs JMU,785.6045687313333,0.0,Labels,134,,,,,,,,,,,,,,,,,,From AMid JMU,,,,,,,,,,,,,,,,,
Duke vs JMU,786.8554903059996,0.0,Labels,135,,,,,,,,,,,,,,,,,,From A25 JMU,,,,,,,,,,,,,To D25 DUKE,,,,
Duke vs JMU,788.4346771616661,0.0,Labels,136,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs JMU,793.8114854906672,0.0,Labels,137,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To AMid DUKE,,,,
Duke vs JMU,798.8001776643335,0.0,Labels,138,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,To A25 DUKE,,,,
Duke vs JMU,807.6066415543323,0.0,Labels,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To A25 DUKE,,", ",,
Duke vs JMU,810.2780519319997,0.0,Labels,140, ,,,,,,,,,,,,,,,Right,From A25 DUKE,,,,,,,,,,,,,,,,,,
Duke vs JMU,814.9170447339994,0.0,Labels,141,,,,,,,,,,,,,,,,,From A25 DUKE,,,CE DUKE,ACE-0 DUKE,,,,,,,,,,To Circle DUKE,,,,
Duke vs JMU,816.3521771043324,0.0,Labels,142,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,,,
Duke vs JMU,819.1656319629977,0.0,Labels,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 JMU,", ",,
Duke vs JMU,832.0996028566666,0.0,Labels,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 JMU,", ",,
Duke vs JMU,834.580221934998,0.0,Labels,145,,,,,,,,,,,,,,,,,,From D25 JMU,,,,,,,,,,,,,,To DMid JMU,,,
Duke vs JMU,839.5231228363326,0.0,Labels,146,,,,,,,,,,,,,,,,,,From DMid JMU,,,,,,,,,,,,,,,,,
Duke vs JMU,842.888845721665,0.0,Labels,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid DUKE,,", ",,
Duke vs JMU,852.0869271756661,0.0,Labels,148,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,,,
Duke vs JMU,853.8514883943332,0.0,Labels,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 JMU,", ",,
Duke vs JMU,856.9918270459988,0.0,Labels,150,,,,,,,,,,,,,,,,,,From D25 JMU,,,,,,,,,,,,,,To DMid JMU,,,
Duke vs JMU,861.2173513986661,0.0,Labels,151,,,,,,,,,,,,,,,,,,From DMid JMU,,,,,,,,,,,,,,,,,
Duke vs JMU,877.1894551376663,0.0,Labels,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,,", ",,
Duke vs JMU,880.4410684023319,0.0,Labels,153,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs JMU,884.2853492899989,0.0,Labels,154,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,,
Duke vs JMU,889.5893652456672,0.0,Labels,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid JMU,", ",,
Duke vs JMU,893.0762687870005,0.0,Labels,156,,,,,,,,,,,,,,,,,,From AMid JMU,,,,,,,,,,,,,,To DMid JMU,,,
Duke vs JMU,904.0307416473322,0.0,Labels,157,,,,,,,,,,,,,,,,,,From DMid JMU,,,,,,,,,,,,,,To AMid JMU,,,
Duke vs JMU,909.4217632119994,0.0,Labels,158,,,,,,,,,,,,,,,,,,From AMid JMU,,,,,,,,,,,,,,,,,
Duke vs JMU,910.7665926726644,0.0,Labels,159,,,,,,,,,,,,,,,,,,From AMid JMU,,,,,,,,,,,,,To D25 DUKE,,,,
Duke vs JMU,912.217647806665,0.0,Labels,160,,,,,,,,,,,,,,,,,,From AMid JMU,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs JMU,918.2996079986658,0.0,Labels,161,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,,
Duke vs JMU,919.6698859766649,0.0,Labels,162,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,To AMid JMU,,,
Duke vs JMU,924.0520766256657,0.0,Labels,163,,,,,,,,,,,,,,,,,,From AMid JMU,,,,,,,,,,,,,,,,,
Duke vs JMU,930.5872607473318,0.0,Labels,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,,", ",,
Duke vs JMU,943.7435171279997,0.0,Labels,165,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To AMid DUKE,,,,
Duke vs JMU,952.7255508809984,0.0,Labels,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid DUKE,,", ",,
Duke vs JMU,956.7812206419989,0.0,Labels,167,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,,,
Duke vs JMU,958.1699297316653,0.0,Labels,168,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,To DMid JMU,,,
Duke vs JMU,959.7296588133336,0.0,Labels,169,,,,,,,,,,,,,,,,,,From DMid JMU,,,,,,,,,,,,,,To AMid JMU,,,
Duke vs JMU,961.1729653739976,0.0,Labels,170,,,,,,,,,,,,,,,,,,From DMid JMU,,,,,,,,,,,,,,To A25 JMU,,,
Duke vs JMU,962.7495052713326,0.0,Labels,171, ,,,,,,,,,,,,,,,Middle,,From AMid JMU,,,,,,,,,,,,,,,,,
Duke vs JMU,966.2878762796652,0.0,Labels,172,,,,,,,,,,,,,,,,,,From A25 JMU,,"Shot JMU, CE JMU, Chance JMU",,,,,,,,,,,To Circle JMU,,,,
Duke vs JMU,970.7523138519999,0.0,Labels,173,,,,,,,,,,,,,,,,,,From A25 JMU,,,,,,,,,,,,,,,,,
Duke vs JMU,977.6104277563315,0.0,Labels,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,,", ",,
Duke vs JMU,994.4511940359996,0.0,Labels,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,,", ",,
Duke vs JMU,998.4458194333334,0.0,Labels,176,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To D25 DUKE,,,,
