Timeline,Start time,Duration,Row,Instance number, ,25 Build Up,Attack,BS,BS Outcome - Direct Ball Win BELL,BS Outcome - Direct Ball Win Blue,BS Outcome - Direct Ball Win DUKE,BS Outcome - Direct turnover BELL,BS Outcome - Direct turnover Blue,BS Outcome - Direct turnover DUKE,BS Outcome - In Direct Ball Win BELL,BS Outcome - In Direct Ball Win Blue,BS Outcome - In Direct Ball Win DUKE,BS Outcome - In Direct turnover BELL,BS Outcome - In Direct turnover Blue,BS Outcome - In Direct turnover DUKE,BS Outcome - New BS BELL,BS Outcome - New BS Blue,BS Outcome - New BS DUKE,Ball Start,Circle Entry,From Zone BELL,From Zone Blue,From Zone DUKE,Goal Type,Outcome +,Outcome -,Outcome Neutral,Presses,Scouting,Set Piece,Shoot Out,Shoot Out Score,Shoot Outs,Start Type BELL,Start Type Blue,Start Type DUKE,To Zone BELL,To Zone Blue,To Zone DUKE,Ungrouped,Notes,Flags
Duke vs Bellarmine,13.555633333333333,1.0,Start,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,1103.3056222222222,1.0,Start,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,2124.616611111111,1.0,Start,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,3241.6753,1.0,Start,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,13.698834156999943,0.0,Labels,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,", ",,
Duke vs Bellarmine,19.399239593998782,0.0,Labels,2,,,,,,,,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,,To DMid DUKE,,,
Duke vs Bellarmine,27.698583412997984,0.0,Labels,3,,,,,,,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,To D25 DUKE,,,
Duke vs Bellarmine,32.77953255899729,0.0,Labels,4,,,,,,,,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,,To DMid DUKE,,,
Duke vs Bellarmine,36.29793259599862,0.0,Labels,5,,,,,,,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,To AMid DUKE,,,
Duke vs Bellarmine,38.93117694299648,0.0,Labels,6,,,,,,,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,To A25 DUKE,,,
Duke vs Bellarmine,41.698302128001444,0.0,Labels,7, ,,,,,,,,,,,,,,,,,,,,Middle,,,From A25 DUKE,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,43.09878270899124,0.0,Labels,8,,,,,,,,,,,,,,,,,,,,,,,,From A25 DUKE,,"CE DUKE, Chance DUKE, Shot DUKE",,,,,,,,,,,,,,To Circle DUKE,,,
Duke vs Bellarmine,44.79951867099389,0.0,Labels,9,,,,,,,,,,,,,,,,,,,,,,,,From A25 DUKE,ACE,"Goal DUKE, CE DUKE",,,,,,,,,,,,,,To Circle DUKE,,,
Duke vs Bellarmine,211.99692222222222,0.0,Labels,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,", ",,
Duke vs Bellarmine,214.19707746399754,0.0,Labels,11,,,,,,,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,To D25 DUKE,,,
Duke vs Bellarmine,221.79867895999698,0.0,Labels,12,,,,,,,,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,,To DMid DUKE,,,
Duke vs Bellarmine,227.01180819799538,0.0,Labels,13,,,,,,,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,To AMid DUKE,,,
Duke vs Bellarmine,229.99741970500125,0.0,Labels,14,,,,,,,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,To A25 DUKE,,,
Duke vs Bellarmine,236.89954116700034,0.0,Labels,15,,,,,,,,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,239.09778148999834,0.0,Labels,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 BELL,,,", ",,
Duke vs Bellarmine,244.72924444444445,0.0,Labels,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 BELL,,,", ",,
Duke vs Bellarmine,258.53302487799994,0.0,Labels,18,,,,,,,,,,,,,,,,,,,,,,From D25 BELL,,,,,,,,,,,,,,,,To DMid BELL,,,,,
Duke vs Bellarmine,263.59914982499845,0.0,Labels,19,,,,,,,,,,,,,,,,,,,,,,From DMid BELL,,,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,265.29916304999523,0.0,Labels,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid DUKE,", ",,
Duke vs Bellarmine,278.4973755149936,0.0,Labels,21,,,,,,,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,280.3997148739985,0.0,Labels,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid BELL,,,", ",,
Duke vs Bellarmine,287.6977836209971,0.0,Labels,23,,,,,,,,,,,,,,,,,,,,,,From DMid BELL,,,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,288.49860830799787,0.0,Labels,24,,,,,,,,,,,,,,,,,,,,,,From DMid BELL,,,,,,,,,,,,,,,,,,To D25 DUKE,,,
Duke vs Bellarmine,290.1996562109941,0.0,Labels,25,,,,,,,,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,,To DMid DUKE,,,
Duke vs Bellarmine,292.2953441909917,0.0,Labels,26,,,,,,,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,294.39960328300106,0.0,Labels,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid BELL,,,", ",,
Duke vs Bellarmine,301.0995708349962,0.0,Labels,28,,,,,,,,,,,,,,,,,,,,,,From AMid BELL,,,,,,,,,,,,,,,,To DMid BELL,,,,,
Duke vs Bellarmine,303.09813013599677,0.0,Labels,29,,,,,,,,,,,,,,,,,,,,,,From AMid BELL,,,,,,,,,,,,,,,,To AMid BELL,,,,,
Duke vs Bellarmine,317.3977476179945,0.0,Labels,30,,,,,,,,,,,,,,,,,,,,,,From AMid BELL,,,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,319.4958589429996,0.0,Labels,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid DUKE,", ",,
Duke vs Bellarmine,339.6982034109978,0.0,Labels,32,,,,,,,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,To DMid DUKE,,,
Duke vs Bellarmine,343.2983255219942,0.0,Labels,33,,,,,,,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,344.49864848099554,0.0,Labels,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid BELL,,,", ",,
Duke vs Bellarmine,346.67680861999344,0.0,Labels,35,,,,,,,,,,,,,,,,,,,,,,From DMid BELL,,,,,,,,,,,,,,,,To AMid BELL,,,,,
Duke vs Bellarmine,348.099062966996,0.0,Labels,36,,,,,,,,,,,,,,,,,,,,,,From DMid BELL,,,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,349.09946869499277,0.0,Labels,37,,,,,,,,,,,,,,,,,,,,,,From AMid BELL,,,,,,,,,,,,,,,,,,To DMid DUKE,,,
Duke vs Bellarmine,351.89961772799296,0.0,Labels,38,,,,,,,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,To D25 DUKE,,,
Duke vs Bellarmine,355.2981233729981,0.0,Labels,39,,,,,,,,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,,To DMid DUKE,,,
Duke vs Bellarmine,367.4997795079986,0.0,Labels,40,,,,,,,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,To AMid DUKE,,,
Duke vs Bellarmine,368.89858512299446,0.0,Labels,41,,,,,,,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,370.2984947869981,0.0,Labels,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid BELL,,,", ",,
Duke vs Bellarmine,377.098910872997,0.0,Labels,43,,,,,,,,,,,,,,,,,,,,,,From DMid BELL,,,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,378.3981025170032,0.0,Labels,44,,,,,,,,,,,,,,,,,,,,,,From DMid BELL,,,,,,,,,,,,,,,,,,To DMid DUKE,,,
Duke vs Bellarmine,381.6984790979964,0.0,Labels,45,,,,,,,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,To AMid DUKE,,,
Duke vs Bellarmine,389.6983819189984,0.0,Labels,46,,,,,,,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,To A25 DUKE,,,
Duke vs Bellarmine,394.78625555555556,0.0,Labels,47, ,,,,,,,,,,,,,,,,,,,,Right,,,From A25 DUKE,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,400.6392974029972,0.0,Labels,48,,,,,,,,,,,,,,,,,,,,,,,,From A25 DUKE,,CE DUKE,ACE-0 DUKE,,,,,,,,,,,,,To Circle DUKE,,,
Duke vs Bellarmine,401.69893787499177,0.0,Labels,49,,,,,,,,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,404.89682037799105,0.0,Labels,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To A25 DUKE,", ",,
Duke vs Bellarmine,411.0994992829951,0.0,Labels,51,,,,,,,,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,412.099441894001,0.0,Labels,52,,,,,,,,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,To D25 BELL,,,,,
Duke vs Bellarmine,415.7988748329954,0.0,Labels,53,,,,,,,,,,,,,,,,,,,,,,From D25 BELL,,,,,,,,,,,,,,,,To DMid BELL,,,,,
Duke vs Bellarmine,419.6989766729907,0.0,Labels,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid BELL,,,", ",,
Duke vs Bellarmine,434.5995205089993,0.0,Labels,55,,,,,,,,,,,,,,,,,,,,,,From DMid BELL,,,,,,,,,,,,,,,,To AMid BELL,,,,,
Duke vs Bellarmine,438.4434403139953,0.0,Labels,56,,,,,,,,,,,,,,,,,,,,,,From AMid BELL,,,,,,,,,,,,,,,,To A25 BELL,,,,,
Duke vs Bellarmine,440.6376576739927,0.0,Labels,57, ,,,,,,,,,,,,,,,,,,,,Middle,From A25 BELL,,,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,450.8998352319985,0.0,Labels,58,,,,,,,,,,,,,,,,,,,,,,From A25 BELL,,,,CE BELL,ACE-0 BELL,,,,,,,,,,,,,To Circle BELL,,,
Duke vs Bellarmine,455.2997518439947,0.0,Labels,59,,,,,,,,,,,,,,,,,,,,,,From A25 BELL,,,,,,,,,,,,,LC BELL,,,,,,,,
Duke vs Bellarmine,459.0985411529961,0.0,Labels,60,,,,,,,,,,,,,,,,,,,,,,From ,,,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,460.59868352399184,0.0,Labels,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,", ",,
Duke vs Bellarmine,478.5997563209949,0.0,Labels,62,,,,,,,,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,481.09837900699836,0.0,Labels,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To A25 DUKE,", ",,
Duke vs Bellarmine,484.1481111111111,0.0,Labels,64, ,,,,,,,,,,,,,,,,,,,,Middle,,,From A25 DUKE,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,484.8989650009931,0.0,Labels,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To A25 BELL,,,", ",,
Duke vs Bellarmine,486.4992385249975,0.0,Labels,66, ,,,,,,,,,,,,,,,,,,,,Middle,From A25 BELL,,,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,488.59849279099257,0.0,Labels,67,,,,,,,,,,,,,,,,,,,,,,From A25 BELL,,,,CE BELL,ACE-0 BELL,,,,,,,,,,,,,To Circle BELL,,,
Duke vs Bellarmine,491.03803556699796,0.0,Labels,68,,,,,,,,,,,,,,,,,,,,,,From A25 BELL,,,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,492.29821036499277,0.0,Labels,69,,,,,,,,,,,,,,,,,,,,,,From A25 BELL,,,,,,,,,,,,,,,,,,To D25 DUKE,,,
Duke vs Bellarmine,503.49867590799914,0.0,Labels,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,", ",,
Duke vs Bellarmine,515.2980857199907,0.0,Labels,71,,,,,,,,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,,To DMid DUKE,,,
Duke vs Bellarmine,519.1985855810011,0.0,Labels,72,,,,,,,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,520.5986403079966,0.0,Labels,73,,,,,,,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To AMid BELL,,,,,
Duke vs Bellarmine,526.1991764689993,0.0,Labels,74,,,,,,,,,,,,,,,,,,,,,,From AMid BELL,,,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,528.699412909997,0.0,Labels,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,", ",,
Duke vs Bellarmine,533.6783640469956,0.0,Labels,76,,,,,,,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,534.8987959849927,0.0,Labels,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid BELL,,,", ",,
Duke vs Bellarmine,539.9992660889964,0.0,Labels,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid BELL,,,", ",,
Duke vs Bellarmine,552.8480769490008,0.0,Labels,79,,,,,,,,,,,,,,,,,,,,,,From AMid BELL,,,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,554.9993988809973,0.0,Labels,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,", ",,
Duke vs Bellarmine,565.7906189499945,0.0,Labels,81,,,,,,,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,To AMid DUKE,,,
Duke vs Bellarmine,567.2965850090029,0.0,Labels,82,,,,,,,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,To A25 DUKE,,,
Duke vs Bellarmine,573.0988945249997,0.0,Labels,83, ,,,,,,,,,,,,,,,,,,,,Right,,,From A25 DUKE,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,575.0995923130015,0.0,Labels,84,,,,,,,,,,,,,,,,,,,,,,,,From A25 DUKE,,CE DUKE,ACE-0 DUKE,,,,,,,,,,,,,To Circle DUKE,,,
Duke vs Bellarmine,576.2996843699985,0.0,Labels,85,,,,,,,,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,577.7987800869963,0.0,Labels,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 BELL,,,", ",,
Duke vs Bellarmine,591.299132607003,0.0,Labels,87,,,,,,,,,,,,,,,,,,,,,,From D25 BELL,,,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,592.0980007469936,0.0,Labels,88,,,,,,,,,,,,,,,,,,,,,,From D25 BELL,,,,,,,,,,,,,,,,,,To AMid DUKE,,,
Duke vs Bellarmine,596.6992268570012,0.0,Labels,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid DUKE,", ",,
Duke vs Bellarmine,614.2987576759953,0.0,Labels,90,,,,,,,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,615.6986260579993,0.0,Labels,91,,,,,,,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,To D25 BELL,,,,,
Duke vs Bellarmine,620.9413920949958,0.0,Labels,92,,,,,,,,,,,,,,,,,,,,,,From D25 BELL,,,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,622.0989183079971,0.0,Labels,93,,,,,,,,,,,,,,,,,,,,,,From D25 BELL,,,,,,,,,,,,,,,,,,To AMid DUKE,,,
Duke vs Bellarmine,624.8981952079936,0.0,Labels,94,,,,,,,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,To DMid DUKE,,,
Duke vs Bellarmine,644.7972276839972,0.0,Labels,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC DUKE,,,,", ",,
Duke vs Bellarmine,646.5960237429947,0.0,Labels,96,,,,,,,,,,,,,,,,,,,,,,,,From ,,,,,,,,,,,,,,,,To A25 DUKE,,,
Duke vs Bellarmine,651.1979127679998,0.0,Labels,97,,,,,,,,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,651.9982903259965,0.0,Labels,98,,,,,,,,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,To D25 BELL,,,,,
Duke vs Bellarmine,655.298598489997,0.0,Labels,99,,,,,,,,,,,,,,,,,,,,,,From D25 BELL,,,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,659.4221333333334,0.0,Labels,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid DUKE,", ",,
Duke vs Bellarmine,663.5993789029976,0.0,Labels,101,,,,,,,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,664.7982713079961,0.0,Labels,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 BELL,,,", ",,
Duke vs Bellarmine,669.299073275992,0.0,Labels,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 BELL,,,", ",,
Duke vs Bellarmine,682.3235626599958,0.0,Labels,104,,,,,,,,,,,,,,,,,,,,,,From D25 BELL,,,,,,,,,,,,,,,,To DMid BELL,,,,,
Duke vs Bellarmine,688.399241513996,0.0,Labels,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid BELL,,,", ",,
Duke vs Bellarmine,711.9987632709993,0.0,Labels,106,,,,,,,,,,,,,,,,,,,,,,From DMid BELL,,,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,713.6987976290025,0.0,Labels,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,", ",,
Duke vs Bellarmine,719.5990260059983,0.0,Labels,108,,,,,,,,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,,To DMid DUKE,,,
Duke vs Bellarmine,724.3986853149922,0.0,Labels,109,,,,,,,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,725.7964427109927,0.0,Labels,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid BELL,,,", ",,
Duke vs Bellarmine,726.9993720749961,0.0,Labels,111,,,,,,,,,,,,,,,,,,,,,,From AMid BELL,,,,,,,,,,,,,,,,To DMid BELL,,,,,
Duke vs Bellarmine,733.6983980029947,0.0,Labels,112,,,,,,,,,,,,,,,,,,,,,,From DMid BELL,,,,,,,,,,,,,,,,To AMid BELL,,,,,
Duke vs Bellarmine,745.706260284992,0.0,Labels,113,,,,,,,,,,,,,,,,,,,,,,From AMid BELL,,,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,747.6990585070015,0.0,Labels,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,", ",,
Duke vs Bellarmine,767.0982145929958,0.0,Labels,115,,,,,,,,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,,To DMid DUKE,,,
Duke vs Bellarmine,770.4988721239939,0.0,Labels,116,,,,,,,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,To AMid DUKE,,,
Duke vs Bellarmine,778.6097,0.0,Labels,117,,,,,,,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,To A25 DUKE,,,
Duke vs Bellarmine,778.6097,0.0,Labels,118, ,,,,,,,,,,,,,,,,,,,,Middle,,,From AMid DUKE,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,782.6993264769976,0.0,Labels,119,,,,,,,,,,,,,,,,,,,,,,,,From A25 DUKE,,"CE DUKE, Chance DUKE, Shot DUKE",,,,,,,,,,,,,,To Circle DUKE,,,
Duke vs Bellarmine,789.7986050919983,0.0,Labels,120,,,,,,,,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,796.2989171399951,0.0,Labels,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 BELL,,,", ",,
Duke vs Bellarmine,808.2991025879925,0.0,Labels,122,,,,,,,,,,,,,,,,,,,,,,From D25 BELL,,,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,809.798332248993,0.0,Labels,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To A25 DUKE,", ",,
Duke vs Bellarmine,819.1984680529989,0.0,Labels,124,,,,,,,,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,To DMid DUKE,,,
Duke vs Bellarmine,824.5990524509973,0.0,Labels,125,,,,,,,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,To AMid DUKE,,,
Duke vs Bellarmine,839.4970099299961,0.0,Labels,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid DUKE,", ",,
Duke vs Bellarmine,851.698744685996,0.0,Labels,127,,,,,,,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,To A25 DUKE,,,
Duke vs Bellarmine,857.098824165995,0.0,Labels,128,,,,,,,,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,858.2994090370012,0.0,Labels,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 BELL,,,", ",,
Duke vs Bellarmine,863.5474486320009,0.0,Labels,130,,,,,,,,,,,,,,,,,,,,,,From D25 BELL,,,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,864.698977456993,0.0,Labels,131,,,,,,,,,,,,,,,,,,,,,,From D25 BELL,,,,,,,,,,,,,,,,,,To A25 DUKE,,,
Duke vs Bellarmine,867.6988939679965,0.0,Labels,132,,,,,,,,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,To AMid DUKE,,,
Duke vs Bellarmine,870.1244637069972,0.0,Labels,133,,,,,,,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,To DMid DUKE,,,
Duke vs Bellarmine,878.6913222222222,0.0,Labels,134,,,,,,,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,To AMid DUKE,,,
Duke vs Bellarmine,878.9987304479989,0.0,Labels,135,,,,,,,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,To A25 DUKE,,,
Duke vs Bellarmine,882.7482666666667,0.0,Labels,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To A25 DUKE,", ",,
Duke vs Bellarmine,899.9999865329964,0.0,Labels,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid DUKE,", ",,
Duke vs Bellarmine,908.6977111129913,0.0,Labels,138,,,,,,,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,To A25 DUKE,,,
Duke vs Bellarmine,914.2965460489934,0.0,Labels,139, ,,,,,,,,,,,,,,,,,,,,Left,,,From A25 DUKE,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,918.4151761189995,0.0,Labels,140,,,,,,,,,,,,,,,,,,,,,,,,From A25 DUKE,,CE DUKE,ACE-0 DUKE,,,,,,,,,,,,,To Circle DUKE,,,
Duke vs Bellarmine,920.9981867979955,0.0,Labels,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To A25 DUKE,", ",,
Duke vs Bellarmine,939.6183792819967,0.0,Labels,142,,,,,,,,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,941.4985598450016,0.0,Labels,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 BELL,,,", ",,
Duke vs Bellarmine,957.7983745409966,0.0,Labels,144,,,,,,,,,,,,,,,,,,,,,,From D25 BELL,,,,,,,,,,,,,,,,To DMid BELL,,,,,
Duke vs Bellarmine,958.9075555555555,0.0,Labels,145,,,,,,,,,,,,,,,,,,,,,,From DMid BELL,,,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,958.9075555555555,0.0,Labels,146,,,,,,,,,,,,,,,,,,,,,,From DMid BELL,,,,,,,,,,,,,,,,,,To AMid DUKE,,,
Duke vs Bellarmine,963.8465888888888,0.0,Labels,147,,,,,,,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,963.8465888888888,0.0,Labels,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid BELL,,,", ",,
Duke vs Bellarmine,969.0996841110019,0.0,Labels,149,,,,,,,,,,,,,,,,,,,,,,From AMid BELL,,,,,,,,,,,,,,,,,,,,,
Duke vs Bellarmine,970.4992095909982,0.0,Labels,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,", ",,
Duke vs Bellarmine,973.4998553799975,0.0,Labels,151,,,,,,,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,To D25 DUKE,,,
Duke vs Bellarmine,977.2992420149917,0.0,Labels,152,,,,,,,,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,,To DMid DUKE,,,
Duke vs Bellarmine,984.0990362579913,0.0,Labels,153,,,,,,,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,To AMid DUKE,,,
Duke vs Bellarmine,985.7986878999973,0.0,Labels,154,,,,,,,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,To A25 DUKE,,,
