Timeline,Start time,Duration,Row,Instance number, ,25 Build Up,Attack,BS,BS Outcome - Direct Ball Win DUKE,BS Outcome - Direct Ball Win LONG,BS Outcome - Direct turnover DUKE,BS Outcome - Direct turnover LONG,BS Outcome - In Direct Ball Win DUKE,BS Outcome - In Direct Ball Win LONG,BS Outcome - In Direct turnover DUKE,BS Outcome - In Direct turnover LONG,BS Outcome - New BS DUKE,BS Outcome - New BS LONG,Ball Start,Circle Entry,From Zone DUKE,From Zone LONG,Goal Type,Outcome +,Outcome -,Outcome Neutral,Presses,Scouting,Set Piece,Shoot Out,Shoot Out Score,Shoot Outs,Start Type DUKE,Start Type LONG,To Zone DUKE,To Zone LONG,Ungrouped,Notes,Flags
Duke vs Longwood,43.79967777777778,1.0,Start,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke vs Longwood,1313.6528888888888,1.0,Start,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke vs Longwood,2951.862207559,1.0,Start,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke vs Longwood,4109.0117222222225,1.0,Start,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke vs Longwood,44.59805164499982,0.0,Labels,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,,", ",,
Duke vs Longwood,54.99996971098981,0.0,Labels,2,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To D25 DUKE,,,,
Duke vs Longwood,60.196577518000964,0.0,Labels,3,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs Longwood,70.59949925299425,0.0,Labels,4,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To AMid DUKE,,,,
Duke vs Longwood,73.83804444444445,0.0,Labels,5,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,,,
Duke vs Longwood,73.83804444444445,0.0,Labels,6,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,To DMid LONG,,,
Duke vs Longwood,75.45013917998925,0.0,Labels,7,,,,,,,,,,,,,,,,,,From DMid LONG,,,,,,,,,,,,,,To AMid LONG,,,
Duke vs Longwood,79.69622006199769,0.0,Labels,8,,,,,,,,,,,,,,,,,,From AMid LONG,,,,,,,,,,,,,,,,,
Duke vs Longwood,80.6995774959969,0.0,Labels,9,,,,,,,,,,,,,,,,,,From AMid LONG,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs Longwood,85.423,0.0,Labels,10,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To D25 DUKE,,,,
Duke vs Longwood,88.79858397299121,0.0,Labels,11,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs Longwood,95.69908179898974,0.0,Labels,12,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To D25 DUKE,,,,
Duke vs Longwood,100.39853317099096,0.0,Labels,13,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,,,,
Duke vs Longwood,101.69936381799477,0.0,Labels,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid LONG,", ",,
Duke vs Longwood,105.89702925999357,0.0,Labels,15,,,,,,,,,,,,,,,,,,From AMid LONG,,,,,,,,,,,,,,To A25 LONG,,,
Duke vs Longwood,110.39766635800153,0.0,Labels,16,,,,,,,,,,,,,,,,,,From A25 LONG,,,,,,,,,,,,,,To AMid LONG,,,
Duke vs Longwood,115.39878951299119,0.0,Labels,17,,,,,,,,,,,,,,,,,,From AMid LONG,,,,,,,,,,,,,,To DMid LONG,,,
Duke vs Longwood,121.99790790799534,0.0,Labels,18,,,,,,,,,,,,,,,,,,From DMid LONG,,,,,,,,,,,,,,To AMid LONG,,,
Duke vs Longwood,126.42384444444444,0.0,Labels,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid LONG,", ",,
Duke vs Longwood,140.6986670690047,0.0,Labels,20,,,,,,,,,,,,,,,,,,From AMid LONG,,,,,,,,,,,,,,To DMid LONG,,,
Duke vs Longwood,148.8370842990069,0.0,Labels,21,,,,,,,,,,,,,,,,,,From DMid LONG,,,,,,,,,,,,,,To AMid LONG,,,
Duke vs Longwood,151.25425555555555,0.0,Labels,22,,,,,,,,,,,,,,,,,,From AMid LONG,,,,,,,,,,,,,,To AMid LONG,,,
Duke vs Longwood,156.12663333333333,0.0,Labels,23,,,,,,,,,,,,,,,,,,From AMid LONG,,,,,,,,,,,,,,,,,
Duke vs Longwood,156.12663333333333,0.0,Labels,24,,,,,,,,,,,,,,,,,,From AMid LONG,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs Longwood,159.29945931300068,0.0,Labels,25,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To AMid DUKE,,,,
Duke vs Longwood,168.59927322899102,0.0,Labels,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid DUKE,,", ",,
Duke vs Longwood,183.51946666666666,0.0,Labels,27,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,To A25 DUKE,,,,
Duke vs Longwood,184.49566666666666,0.0,Labels,28, ,,,,,,,,,,,,,,,Middle,From AMid DUKE,,,,,,,,,,,,,,,,,,
Duke vs Longwood,188.5979023519883,0.0,Labels,29,,,,,,,,,,,,,,,,,From A25 DUKE,,,"Chance DUKE, CE DUKE, Shot DUKE",,,,,,,,,,,To Circle DUKE,,,,
Duke vs Longwood,190.09932120699617,0.0,Labels,30,,,,,,,,,,,,,,,,,From A25 DUKE,,,"PC Win DUKE, CE DUKE",,,,,,,,,,,To Circle DUKE,,,,
Duke vs Longwood,232.2996457920008,0.0,Labels,31,,,,,,,,,,,,,,,,,,,,,,,,,PC,,,,,,,,", ",,
Duke vs Longwood,238.80740918698632,0.0,Labels,32,,,,,,,,,,,,,,,,,,,PC,"Goal DUKE, ",,,,,,,,,,,To Circle DUKE,,", ",,
Duke vs Longwood,265.6989585660009,0.0,Labels,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid LONG,", ",,
Duke vs Longwood,269.89872604198837,0.0,Labels,34,,,,,,,,,,,,,,,,,,From DMid LONG,,,,,,,,,,,,,,To AMid LONG,,,
Duke vs Longwood,274.44266666666664,0.0,Labels,35,,,,,,,,,,,,,,,,,,From AMid LONG,,,,,,,,,,,,,,To AMid LONG,,,
Duke vs Longwood,280.0990426039933,0.0,Labels,36,,,,,,,,,,,,,,,,,,From AMid LONG,,,,,,,,,,,,,,,,,
Duke vs Longwood,281.5996008180002,0.0,Labels,37,,,,,,,,,,,,,,,,,,From AMid LONG,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs Longwood,284.59894439400074,0.0,Labels,38,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To AMid DUKE,,,,
Duke vs Longwood,289.1157666666667,0.0,Labels,39,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,,,
Duke vs Longwood,289.1157666666667,0.0,Labels,40,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,To AMid LONG,,,
Duke vs Longwood,293.4990676799915,0.0,Labels,41,,,,,,,,,,,,,,,,,,From AMid LONG,,,,,,,,,,,,,,To A25 LONG,,,
Duke vs Longwood,300.8987136799954,0.0,Labels,42, ,,,,,,,,,,,,,,,Left,,From A25 LONG,,,,,,,,,,,,,,,,,
Duke vs Longwood,306.79958269799096,0.0,Labels,43,,,,,,,,,,,,,,,,,,From A25 LONG,,"PC Win LONG, CE LONG",,,,,,,,,,,To Circle LONG,,,,
Duke vs Longwood,355.9000341319952,0.0,Labels,44,,,,,,,,,,,,,,,,,,,,,,,,,PC,,,,,,,,", ",,
Duke vs Longwood,363.4981288359953,0.0,Labels,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", ",,
Duke vs Longwood,365.2991897359901,0.0,Labels,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,,", ",,
Duke vs Longwood,369.198372590002,0.0,Labels,47,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs Longwood,370.8986043860014,0.0,Labels,48,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To AMid DUKE,,,,
Duke vs Longwood,372.3995879439931,0.0,Labels,49,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To A25 DUKE,,,,
Duke vs Longwood,372.89886666666666,0.0,Labels,50, ,,,,,,,,,,,,,,,Middle,From AMid DUKE,,,,,,,,,,,,,,,,,,
Duke vs Longwood,373.39950806399236,0.0,Labels,51,,,,,,,,,,,,,,,,,From A25 DUKE,,,"Chance DUKE, CE DUKE, Shot DUKE",,,,,,,,,,,To Circle DUKE,,,,
Duke vs Longwood,376.7992576269897,0.0,Labels,52,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,,,
Duke vs Longwood,378.7997917420026,0.0,Labels,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 LONG,", ",,
Duke vs Longwood,396.3980895070024,0.0,Labels,54,,,,,,,,,,,,,,,,,,From D25 LONG,,,,,,,,,,,,,,To DMid LONG,,,
Duke vs Longwood,403.6992761979874,0.0,Labels,55,,,,,,,,,,,,,,,,,,From DMid LONG,,,,,,,,,,,,,,To AMid LONG,,,
Duke vs Longwood,411.1989439920038,0.0,Labels,56,,,,,,,,,,,,,,,,,,From AMid LONG,,,,,,,,,,,,,,,,,
Duke vs Longwood,412.8997617869885,0.0,Labels,57,,,,,,,,,,,,,,,,,,From AMid LONG,,,,,,,,,,,,,To D25 DUKE,,,,
Duke vs Longwood,435.69864518998844,0.0,Labels,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,,", ",,
Duke vs Longwood,461.59916102399137,0.0,Labels,59,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To AMid DUKE,,,,
Duke vs Longwood,466.19842672099725,0.0,Labels,60,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,To A25 DUKE,,,,
Duke vs Longwood,471.6989552609981,0.0,Labels,61,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,,,
Duke vs Longwood,473.29934785898297,0.0,Labels,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 LONG,", ",,
Duke vs Longwood,490.4992288629822,0.0,Labels,63,,,,,,,,,,,,,,,,,,From D25 LONG,,,,,,,,,,,,,,To DMid LONG,,,
Duke vs Longwood,491.6996364169955,0.0,Labels,64,,,,,,,,,,,,,,,,,,From D25 LONG,,,,,,,,,,,,,,,,,
Duke vs Longwood,492.89885441,0.0,Labels,65,,,,,,,,,,,,,,,,,,From DMid LONG,,,,,,,,,,,,,To AMid DUKE,,,,
Duke vs Longwood,500.7965695269949,0.0,Labels,66,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs Longwood,507.99870099099104,0.0,Labels,67,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To AMid DUKE,,,,
Duke vs Longwood,516.3984861809973,0.0,Labels,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid DUKE,,", ",,
Duke vs Longwood,535.2983813669949,0.0,Labels,69,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,To A25 DUKE,,,,
Duke vs Longwood,538.4525555555556,0.0,Labels,70,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,,,
Duke vs Longwood,538.5981304249843,0.0,Labels,71,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,To D25 LONG,,,
Duke vs Longwood,540.1997101679898,0.0,Labels,72,,,,,,,,,,,,,,,,,,From D25 LONG,,,,,,,,,,,,,,To DMid LONG,,,
Duke vs Longwood,544.3488337989936,0.0,Labels,73,,,,,,,,,,,,,,,,,,From DMid LONG,,,,,,,,,,,,,,To AMid LONG,,,
Duke vs Longwood,547.898060877999,0.0,Labels,74,,,,,,,,,,,,,,,,,,From AMid LONG,,,,,,,,,,,,,,To A25 LONG,,,
Duke vs Longwood,554.9985279929924,0.0,Labels,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC LONG,,,", ",,
Duke vs Longwood,560.397004792991,0.0,Labels,76,,,,,,,,,,,,,,,,,,From ,,,,,,,,,,,,,,To AMid LONG,,,
Duke vs Longwood,566.1987104519931,0.0,Labels,77,,,,,,,,,,,,,,,,,,From AMid LONG,,,,,,,,,,,,,,,,,
Duke vs Longwood,568.0981207470045,0.0,Labels,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,,", ",,
Duke vs Longwood,576.4994436459978,0.0,Labels,79,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs Longwood,580.3990206199993,0.0,Labels,80,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To AMid DUKE,,,,
Duke vs Longwood,586.1981809849946,0.0,Labels,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid DUKE,,", ",,
Duke vs Longwood,588.3987469399899,0.0,Labels,82,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,To A25 DUKE,,,,
Duke vs Longwood,595.0990808169994,0.0,Labels,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", ",,
Duke vs Longwood,605.7992295699959,0.0,Labels,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid LONG,", ",,
Duke vs Longwood,616.199619139988,0.0,Labels,85,,,,,,,,,,,,,,,,,,From DMid LONG,,,,,,,,,,,,,,To D25 LONG,,,
Duke vs Longwood,624.2949721899967,0.0,Labels,86,,,,,,,,,,,,,,,,,,From D25 LONG,,,,,,,,,,,,,,To DMid LONG,,,
Duke vs Longwood,625.1982861689845,0.0,Labels,87,,,,,,,,,,,,,,,,,,From D25 LONG,,,,,,,,,,,,,,To AMid LONG,,,
Duke vs Longwood,626.6996921479899,0.0,Labels,88,,,,,,,,,,,,,,,,,,From DMid LONG,,,,,,,,,,,,,,To A25 LONG,,,
Duke vs Longwood,638.9988464979929,0.0,Labels,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To A25 LONG,", ",,
Duke vs Longwood,649.1394888888889,0.0,Labels,90, ,,,,,,,,,,,,,,,Right,,From A25 LONG,,,,,,,,,,,,,,,,,
Duke vs Longwood,651.0984798469871,0.0,Labels,91,,,,,,,,,,,,,,,,,,From A25 LONG,,CE LONG,ACE-0 LONG,,,,,,,,,,To Circle LONG,,,,
Duke vs Longwood,651.8990680499937,0.0,Labels,92,,,,,,,,,,,,,,,,,,From A25 LONG,,,,,,,,,,,,,,,,,
Duke vs Longwood,653.496139922996,0.0,Labels,93,,,,,,,,,,,,,,,,,,From A25 LONG,,,,,,,,,,,,,To D25 DUKE,,,,
Duke vs Longwood,655.6770580729935,0.0,Labels,94,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs Longwood,660.6963058659917,0.0,Labels,95,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To AMid DUKE,,,,
Duke vs Longwood,662.6986672790001,0.0,Labels,96,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,,
Duke vs Longwood,663.5999934290029,0.0,Labels,97,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,To DMid LONG,,,
Duke vs Longwood,667.7365394649829,0.0,Labels,98,,,,,,,,,,,,,,,,,,From DMid LONG,,,,,,,,,,,,,,To AMid LONG,,,
Duke vs Longwood,671.1980421299949,0.0,Labels,99,,,,,,,,,,,,,,,,,,From AMid LONG,,,,,,,,,,,,,,To DMid LONG,,,
Duke vs Longwood,682.0983328999919,0.0,Labels,100,,,,,,,,,,,,,,,,,,From DMid LONG,,,,,,,,,,,,,,To AMid LONG,,,
Duke vs Longwood,684.597757376996,0.0,Labels,101,,,,,,,,,,,,,,,,,,From AMid LONG,,,,,,,,,,,,,,To A25 LONG,,,
Duke vs Longwood,686.4696555555555,0.0,Labels,102, ,,,,,,,,,,,,,,,Middle,,From A25 LONG,,,,,,,,,,,,,,,,,
Duke vs Longwood,686.4696555555555,0.0,Labels,103,,,,,,,,,,,,,,,,,,From A25 LONG,,"Chance LONG, CE LONG, Shot LONG",,,,,,,,,,,To Circle LONG,,,,
Duke vs Longwood,698.6069888888888,0.0,Labels,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC LONG,,,", ",,
Duke vs Longwood,700.798387147004,0.0,Labels,105,,,,,,,,,,,,,,,,,,From ,,,,,,,,,,,,,,To A25 LONG,,,
Duke vs Longwood,701.7723777777778,0.0,Labels,106,,,,,,,,,,,,,,,,,,From A25 LONG,,,,,,,,,,,,,,,,,
Duke vs Longwood,701.7723777777778,0.0,Labels,107,,,,,,,,,,,,,,,,,,From A25 LONG,,,,,,,,,,,,,To D25 DUKE,,,,
Duke vs Longwood,705.0025039049975,0.0,Labels,108,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs Longwood,706.4989984289936,0.0,Labels,109,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To D25 DUKE,,,,
Duke vs Longwood,707.9995867400011,0.0,Labels,110,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To D25 DUKE,,,,
Duke vs Longwood,712.1454584939988,0.0,Labels,111,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs Longwood,720.0985048119877,0.0,Labels,112,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To AMid DUKE,,,,
Duke vs Longwood,722.0407078079942,0.0,Labels,113,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,To A25 DUKE,,,,
Duke vs Longwood,725.9954444444444,0.0,Labels,114,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,,,
Duke vs Longwood,725.9954444444444,0.0,Labels,115,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,To D25 LONG,,,
Duke vs Longwood,729.9310111111112,0.0,Labels,116,,,,,,,,,,,,,,,,,,From D25 LONG,,,,,,,,,,,,,,,,,
Duke vs Longwood,729.9310111111112,0.0,Labels,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid DUKE,,", ",,
Duke vs Longwood,732.7993737070001,0.0,Labels,118,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,To A25 DUKE,,,,
Duke vs Longwood,735.599854804992,0.0,Labels,119, ,,,,,,,,,,,,,,,Middle,From A25 DUKE,,,,,,,,,,,,,,,,,,
Duke vs Longwood,740.9997218639988,0.0,Labels,120,,,,,,,,,,,,,,,,,From A25 DUKE,,,"PC Win DUKE, CE DUKE",,,,,,,,,,,To Circle DUKE,,,,
Duke vs Longwood,793.0641294039933,0.0,Labels,121,,,,,,,,,,,,,,,,,,,,,,,,,PC,,,,,,,,", ",,
Duke vs Longwood,800.3142,0.0,Labels,122,,,,,,,,,,,,,,,,,,,PC,"Goal DUKE, ",,,,,,,,,,,To Circle DUKE,,", ",,
Duke vs Longwood,831.4137888888889,0.0,Labels,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,,", ",,
Duke vs Longwood,834.6953419169934,0.0,Labels,124,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To AMid DUKE,,,,
Duke vs Longwood,841.8974027610022,0.0,Labels,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid DUKE,,", ",,
Duke vs Longwood,856.0971618230067,0.0,Labels,126,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,To A25 DUKE,,,,
Duke vs Longwood,861.9988584900015,0.0,Labels,127,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,,,
Duke vs Longwood,864.598440202999,0.0,Labels,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 LONG,", ",,
Duke vs Longwood,872.8985486649951,0.0,Labels,129,,,,,,,,,,,,,,,,,,From D25 LONG,,,,,,,,,,,,,,To DMid LONG,,,
Duke vs Longwood,882.0990640039961,0.0,Labels,130,,,,,,,,,,,,,,,,,,From DMid LONG,,,,,,,,,,,,,,,,,
Duke vs Longwood,883.5991167799929,0.0,Labels,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,,", ",,
Duke vs Longwood,888.4708964729851,0.0,Labels,132,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To D25 DUKE,,,,
Duke vs Longwood,894.6987766279985,0.0,Labels,133,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs Longwood,902.8804349779949,0.0,Labels,134,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To D25 DUKE,,,,
Duke vs Longwood,906.5994757839984,0.0,Labels,135,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs Longwood,914.0990336259908,0.0,Labels,136,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To AMid DUKE,,,,
Duke vs Longwood,924.1669078659943,0.0,Labels,137,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,To A25 DUKE,,,,
Duke vs Longwood,927.9901555555556,0.0,Labels,138, ,,,,,,,,,,,,,,,Middle,From A25 DUKE,,,,,,,,,,,,,,,,,,
Duke vs Longwood,931.1984057609964,0.0,Labels,139,,,,,,,,,,,,,,,,,From A25 DUKE,,,CE DUKE,ACE-0 DUKE,,,,,,,,,,To Circle DUKE,,,,
Duke vs Longwood,931.9980124719939,0.0,Labels,140,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,,,
Duke vs Longwood,933.5992624429913,0.0,Labels,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", ",,
Duke vs Longwood,934.998791328997,0.0,Labels,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 LONG,", ",,
Duke vs Longwood,949.5961332490032,0.0,Labels,143,,,,,,,,,,,,,,,,,,From D25 LONG,,,,,,,,,,,,,,To DMid LONG,,,
Duke vs Longwood,956.7992137379957,0.0,Labels,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid LONG,", ",,
Duke vs Longwood,968.3983328820015,0.0,Labels,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid LONG,", ",,
Duke vs Longwood,975.899146216986,0.0,Labels,146,,,,,,,,,,,,,,,,,,From DMid LONG,,,,,,,,,,,,,,To D25 LONG,,,
Duke vs Longwood,977.0997724389974,0.0,Labels,147,,,,,,,,,,,,,,,,,,From DMid LONG,,,,,,,,,,,,,,To DMid LONG,,,
Duke vs Longwood,981.7992388929877,0.0,Labels,148,,,,,,,,,,,,,,,,,,From DMid LONG,,,,,,,,,,,,,,,,,
Duke vs Longwood,983.1989745439984,0.0,Labels,149,,,,,,,,,,,,,,,,,,From DMid LONG,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs Longwood,986.196650678991,0.0,Labels,150,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,,
Duke vs Longwood,988.1517111111111,0.0,Labels,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid LONG,", ",,
Duke vs Longwood,989.5955394189975,0.0,Labels,152,,,,,,,,,,,,,,,,,,From AMid LONG,,,,,,,,,,,,,,To DMid LONG,,,
Duke vs Longwood,996.4992547339997,0.0,Labels,153,,,,,,,,,,,,,,,,,,From DMid LONG,,,,,,,,,,,,,,To AMid LONG,,,
Duke vs Longwood,1004.5994733229892,0.0,Labels,154,,,,,,,,,,,,,,,,,,From AMid LONG,,,,,,,,,,,,,,,,,
Duke vs Longwood,1015.3989686479889,0.0,Labels,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC DUKE,,,,", ",,
Duke vs Longwood,1017.094918549995,0.0,Labels,156,,,,,,,,,,,,,,,,,From ,,,,,,,,,,,,,,To AMid DUKE,,,,
Duke vs Longwood,1017.0995263319957,0.0,Labels,157,,,,,,,,,,,,,,,,,From ,,,,,,,,,,,,,,To AMid DUKE,,,,
Duke vs Longwood,1030.098102856991,0.0,Labels,158,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,To A25 DUKE,,,,
Duke vs Longwood,1041.4668300739954,0.0,Labels,159,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,,,
Duke vs Longwood,1046.0999498229974,0.0,Labels,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 LONG,", ",,
Duke vs Longwood,1062.498852557992,0.0,Labels,161,,,,,,,,,,,,,,,,,,From D25 LONG,,,,,,,,,,,,,,To DMid LONG,,,
Duke vs Longwood,1068.2996175289964,0.0,Labels,162,,,,,,,,,,,,,,,,,,From DMid LONG,,,,,,,,,,,,,,To AMid LONG,,,
Duke vs Longwood,1072.1995530899892,0.0,Labels,163,,,,,,,,,,,,,,,,,,From AMid LONG,,,,,,,,,,,,,,,,,
Duke vs Longwood,1074.8995455689967,0.0,Labels,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,,", ",,
Duke vs Longwood,1077.799051876993,0.0,Labels,165,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To AMid DUKE,,,,
Duke vs Longwood,1081.398132074985,0.0,Labels,166,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,To A25 DUKE,,,,
Duke vs Longwood,1086.3997416830027,0.0,Labels,167,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,To AMid DUKE,,,,
Duke vs Longwood,1093.196765420991,0.0,Labels,168,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs Longwood,1096.8056,0.0,Labels,169,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs Longwood,1100.2954522640032,0.0,Labels,170,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To AMid DUKE,,,,
Duke vs Longwood,1108.3980927019966,0.0,Labels,171,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,To DMid DUKE,,,,
Duke vs Longwood,1112.399582538995,0.0,Labels,172,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To AMid DUKE,,,,
Duke vs Longwood,1114.5629121159989,0.0,Labels,173,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,To A25 DUKE,,,,
Duke vs Longwood,1118.6374,0.0,Labels,174, ,,,,,,,,,,,,,,,Middle,From A25 DUKE,,,,,,,,,,,,,,,,,,
Duke vs Longwood,1119.296847673987,0.0,Labels,175,,,,,,,,,,,,,,,,,From A25 DUKE,,,CE DUKE,ACE-0 DUKE,,,,,,,,,,To Circle DUKE,,,,
