Timeline,Start time,Duration,Row,Instance number, ,25 Build Up,Attack,BB,BS,BS Outcome - Direct Ball Win DUKE,BS Outcome - Direct Ball Win Duke,BS Outcome - Direct Ball Win RUTG,BS Outcome - Direct Ball Win Rutgers,BS Outcome - Direct turnover DUKE,BS Outcome - Direct turnover Duke,BS Outcome - Direct turnover RUTG,BS Outcome - Direct turnover Rutgers,BS Outcome - In Direct Ball Win DUKE,BS Outcome - In Direct Ball Win Duke,BS Outcome - In Direct Ball Win RUTG,BS Outcome - In Direct Ball Win Rutgers,BS Outcome - In Direct turnover DUKE,BS Outcome - In Direct turnover Duke,BS Outcome - In Direct turnover RUTG,BS Outcome - In Direct turnover Rutgers,BS Outcome - New BS DUKE,BS Outcome - New BS Duke,BS Outcome - New BS RUTG,BS Outcome - New BS Rutgers,Ball Position,Ball Start,Build Zone,Circle Entry,Circle Zone,Eliminations,From Zone DUKE,From Zone Duke,From Zone RUTG,From Zone Rutgers,Goal Type,Neutral,Outcome +,Outcome -,Outcome Neutral,Presses,Result,Scouting,Set Piece,Shoot Out,Shoot Out Score,Shoot Outs,Shot Selection,Start Type DUKE,Start Type Duke,Start Type RUTG,Start Type Rutgers,Target,To Zone DUKE,To Zone Duke,To Zone RUTG,To Zone Rutgers,Ungrouped,Notes,Flags
260822 Rutgers v Duke,5519.693730752999,27.165544890001,BS3 DUKE,19,,,,,,,,BW RUTG D25,,BL DUKE A25,,,,,,,,,,,,,,,,,BS 3,,,,,"From DUKE AMid, From DUKE AMid, From DUKE AMid, From DUKE DMid, From DUKE AMid",,,,,,,"Turnover, Duel Lost",,,,,,,,,,,,,,,"To DMid DUKE, To AMid DUKE, To DMid DUKE, To AMid DUKE, To A25 DUKE",,,,"Home Game, Q4, BW3 DUKE, VC Game 1, RUTG 1 - DUKE 1, BH, Start DUKE AMid, BS3 DUKE, Regular Season, Out of Conf",,
260822 Rutgers v Duke,7014.397101950998,14.53236249100155,BS3 DUKE,20,,,,,,,,,,,,,,,,,,,,,,NewBS DUKE A25,,,,,BS 3,,,,,"From DUKE A25, From DUKE AMid",,,,,,,,Long Corner,,,,,,,,,,,,,,"To AMid DUKE, To A25 DUKE",,,,"Home Game, Q5, Start LC DUKE, VC Game 1, RUTG 1 - DUKE 1, BH, BS3 DUKE, Start LC DUKE, Regular Season, Out of Conf",,
260822 Rutgers v Duke,7034.7961731199985,11.704030552000404,BS3 DUKE,21,,,,,,,,,,,,,,,,,,,,,,NewBS DUKE AMid,,,,,BS 3,,,,,,,,,,,,,Free Hit,,,,,,,,,,,,,,,,,,"Home Game, Q5, Start LC DUKE, VC Game 1, RUTG 1 - DUKE 1, BH, Start LC DUKE, BS3 DUKE, Regular Season, Out of Conf",,
260822 Rutgers v Duke,7461.167264536,7.53025001900005,BS3 DUKE,22,,,,,,,,,,,,,,,,TOW RUTG DMid,,TO DUKE AMid,,,,,,,,,BS 3,,,,,From DUKE AMid,,,,,,,"Turnover, Ball Out",,,,,,,,,,,,,,,To A25 DUKE,,,,"Home Game, Q6, Start LC DUKE, VC Game 1, RUTG 1 - DUKE 1, BH, BS3 DUKE, Start LC DUKE, Regular Season, Out of Conf",,
260822 Rutgers v Duke,7841.573103843001,11.282262756998534,BS3 DUKE,23,,,,,,,,BW RUTG D25,,BL DUKE A25,,,,,,,,,,,,,,,,,BS 3,,,,,,,,,,,,"End Line, Turnover",,,,,,,,,,,,,,,,,,,"Home Game, RUTG 1 - DUKE 1, Q6, VC Game 1, BW3 DUKE, BH, Start DUKE AMid, BS3 DUKE, Regular Season, Out of Conf",,
260822 Rutgers v Duke,409.8488405876666,31.085611748333406,BS2 DUKE,1,,,,,,,,,,,,,,,,,,,,,,NewBS DUKE A25,,,,,BS 2,,,,,"From DUKE DMid, From DUKE AMid",,,,,,,,Free Hit,,,,,,,,,,,,,,"To AMid DUKE, To A25 DUKE",,,,"Home Game, Q1, RUTG 0 - DUKE 0, VC Game 1, Start DUKE DMid, BH, BS2 DUKE, Regular Season, Out of Conf",,
260822 Rutgers v Duke,870.3508247309998,27.81678606033347,BS2 DUKE,2,,,,,,,,BW RUTG DMid,,BL DUKE AMid,,,,,,,,,,,,,,,,,BS 2,,,,,"From DUKE AMid, From DUKE DMid",,,,,,,"Interception, Turnover",,,,,,,,,,,,,,,"To DMid DUKE, To AMid DUKE",,,,"Home Game, Q1, RUTG 0 - DUKE 0, VC Game 1, BW3 DUKE, Start DUKE AMid, BH, BS2 DUKE, Regular Season, Out of Conf",,
260822 Rutgers v Duke,1112.525502543,11.986348575999955,BS2 DUKE,3,,,,,,,,BW RUTG D25,,BL DUKE A25,,,,,,,,,,,,,,,,,BS 1,,,,,"From DUKE DMid, From DUKE AMid",,,,,,,"Interception, Turnover",,,,,,,,,,,,,,,"To AMid DUKE, To A25 DUKE",,,,"Home Game, RUTG 0 - DUKE 0, Q1, VC Game 1, BW1 DUKE, BH, Start DUKE D25, BS2 DUKE, Regular Season, Out of Conf",,
260822 Rutgers v Duke,3409.125364247,24.342460605999804,BS2 DUKE,4,,,,,,,,,,,,,,,,,,,,,,"NewBS DUKE DMid, NewBS DUKE AMid",,,,,BS 2,,,,,From DUKE DMid,,,,,,,,"Free Hit, Free Hit",,,,,,,,,,,,,,To AMid DUKE,,,,"Home Game, Q3, RUTG 1 - DUKE 1, VC Game 1, BH, BS2 DUKE, Start DUKE DMid, Regular Season, Out of Conf",,
260822 Rutgers v Duke,4664.2951160600005,14.524135656997714,BS2 DUKE,5,,,,,,,,BW RUTG AMid,,BL DUKE DMid,,,,,,,,,,,,,,,,,BS 2,,,,,"From DUKE DMid, From DUKE D25",,,,,,,"Turnover, Duel Lost",,,,,,,,,,,,,,,"To D25 DUKE, To DMid DUKE",,,,"Home Game, Q4, BW1 DUKE, VC Game 1, RUTG 1 - DUKE 1, Start DUKE D25, BH, BS2 DUKE, Regular Season, Out of Conf",,
260822 Rutgers v Duke,5256.796194378,19.037287786999514,BS2 DUKE,6,,,,,,,,,,,,,,,,,,,,,,NewBS DUKE AMid,,,,,BS 2,,,,,From DUKE DMid,,,,,,,,Sideline,,,,,,,,,,,,,,To AMid DUKE,,,,"Home Game, Q4, BW2 DUKE, VC Game 1, RUTG 1 - DUKE 1, Start DUKE DMid, BH, BS2 DUKE, Regular Season, Out of Conf",,
260822 Rutgers v Duke,5282.997397194001,34.699260692998905,BS2 DUKE,7,,,,,,,,BW RUTG D25,,BL DUKE A25,,,,,,,,,,,,NewBS DUKE A25,,,,,BS 2,,,,,"From DUKE DMid, From DUKE AMid, From DUKE DMid, From DUKE AMid",,,,,,,"Interception, Turnover",Sideline,,,,,,,,,,,,,,"To AMid DUKE, To DMid DUKE, To AMid DUKE, To A25 DUKE",,,,"Home Game, Q4, BW3 DUKE, VC Game 1, RUTG 1 - DUKE 1, BH, BS2 DUKE, Start DUKE AMid, Regular Season, Out of Conf",,
260822 Rutgers v Duke,5477.4914161140005,9.403709187999993,BS2 DUKE,8,,,,,,,,BW RUTG D25,,BL DUKE A25,,,,,,,,,,,,,,,,,BS 2,,,,,From DUKE AMid,,,,,,,"End Line, Turnover",,,,,,,,,,,,,,,To A25 DUKE,,,,"Home Game, Q4, BW2 DUKE, VC Game 1, RUTG 1 - DUKE 1, BH, Start DUKE DMid, BS2 DUKE, Regular Season, Out of Conf",,
