Timeline,Start time,Duration,Row,Instance number, ,25 Build Up,Attack,BS,BS Outcome - Direct Ball Win BC,BS Outcome - Direct Ball Win DUKE,BS Outcome - Direct turnover BC,BS Outcome - Direct turnover DUKE,BS Outcome - In Direct Ball Win BC,BS Outcome - In Direct Ball Win DUKE,BS Outcome - In Direct turnover BC,BS Outcome - In Direct turnover DUKE,BS Outcome - New BS BC,BS Outcome - New BS DUKE,Ball Start,Circle Entry,From Zone BC,From Zone DUKE,Goal Type,Outcome +,Outcome -,Outcome Neutral,Presses,Scouting,Set Piece,Shoot Out,Shoot Out Score,Shoot Outs,Start Type BC,Start Type DUKE,To Zone BC,To Zone DUKE,Ungrouped,Notes,Flags
video 23 09 2022,151.41376128532147,1.0,Start,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 11v11 BC, Out of Conf, Home Game, Q0, Regular Season, DUKE 0 - 0  BC",,
video 23 09 2022,1266.5085667806625,1.0,Start,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,", , DUKE 11v11 BC, Out of Conf, Home Game, Q1, Regular Season, DUKE 0 - 0  BC",,
video 23 09 2022,2962.2016167746597,1.0,Start,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 11v11 BC, Out of Conf, Home Game, Q2, Regular Season, DUKE 0 - 1  BC",,
video 23 09 2022,4072.0011595549977,1.0,Start,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 11v11 BC, Out of Conf, Home Game, Q3, Regular Season, DUKE 0 - 1  BC",,
video 23 09 2022,150.31399998157596,2.0,QUARTER START,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
video 23 09 2022,1265.9095666666667,2.0,QUARTER START,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
video 23 09 2022,2987.1881,2.0,QUARTER START,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
video 23 09 2022,4070.681466666667,2.0,QUARTER START,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
video 23 09 2022,152.62178864565269,0.0,Labels,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,", ",,
video 23 09 2022,155.30192572034002,0.0,Labels,2,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,
video 23 09 2022,156.55165537733274,0.0,Labels,3,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,To DMid BC,,,,
video 23 09 2022,164.65170372233123,0.0,Labels,4,,,,,,,,,,,,,,,,,From DMid BC,,,,,,,,,,,,,,To D25 BC,,,,
video 23 09 2022,167.91863233998845,0.0,Labels,5,,,,,,,,,,,,,,,,,From D25 BC,,,,,,,,,,,,,,To DMid BC,,,,
video 23 09 2022,177.29684396832755,0.0,Labels,6,,,,,,,,,,,,,,,,,From DMid BC,,,,,,,,,,,,,,To AMid BC,,,,
video 23 09 2022,183.43537843566503,0.0,Labels,7,,,,,,,,,,,,,,,,,From AMid BC,,,,,,,,,,,,,,To A25 BC,,,,
video 23 09 2022,184.95207155733524,0.0,Labels,8, ,,,,,,,,,,,,,,,Right,From AMid BC,,,,,,,,,,,,,,,,,,
video 23 09 2022,194.30200866331734,0.0,Labels,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC BC,,,,", ",,
video 23 09 2022,195.55171413032667,0.0,Labels,10,,,,,,,,,,,,,,,,,From ,,,,,,,,,,,,,,To A25 BC,,,,
video 23 09 2022,207.80535463332353,0.0,Labels,11,,,,,,,,,,,,,,,,,From A25 BC,,,,,,,,,,,,,,,,,,
video 23 09 2022,215.47605976899754,0.0,Labels,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,", ",,
video 23 09 2022,222.31871709299116,0.0,Labels,13,,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To DMid DUKE,,,
video 23 09 2022,228.29767535633445,0.0,Labels,14,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,
video 23 09 2022,238.0857009529947,0.0,Labels,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid BC,,", ",,
video 23 09 2022,241.90173003532263,0.0,Labels,16,,,,,,,,,,,,,,,,,From DMid BC,,,,,,,,,,,,,,To D25 BC,,,,
video 23 09 2022,243.30188823232174,0.0,Labels,17,,,,,,,,,,,,,,,,,From DMid BC,,,,,,,,,,,,,,To DMid BC,,,,
video 23 09 2022,265.00916516333467,0.0,Labels,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid BC,,", ",,
video 23 09 2022,275.1057844316688,0.0,Labels,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid BC,,", ",,
video 23 09 2022,277.97074530566886,0.0,Labels,20,,,,,,,,,,,,,,,,,From AMid BC,,,,,,,,,,,,,,To DMid BC,,,,
video 23 09 2022,286.5352978279964,0.0,Labels,21,,,,,,,,,,,,,,,,,From DMid BC,,,,,,,,,,,,,,,,,,
video 23 09 2022,298.2708488006653,0.0,Labels,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,", ",,
video 23 09 2022,305.6119157129894,0.0,Labels,23,,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,,,
video 23 09 2022,306.8569979519887,0.0,Labels,24,,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,To AMid BC,,,,
video 23 09 2022,309.23552727398743,0.0,Labels,25,,,,,,,,,,,,,,,,,From AMid BC,,,,,,,,,,,,,,,,,,
video 23 09 2022,312.1600034339963,0.0,Labels,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,", ",,
video 23 09 2022,315.47232254298905,0.0,Labels,27,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To D25 DUKE,,,
video 23 09 2022,316.47174894599465,0.0,Labels,28,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To DMid DUKE,,,
video 23 09 2022,318.67612528899366,0.0,Labels,29,,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To D25 DUKE,,,
video 23 09 2022,325.2996705179936,0.0,Labels,30,,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To DMid DUKE,,,
video 23 09 2022,340.42008326299,0.0,Labels,31,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,
video 23 09 2022,354.7077173410021,0.0,Labels,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 BC,,", ",,
video 23 09 2022,358.21802725499646,0.0,Labels,33,,,,,,,,,,,,,,,,,From D25 BC,,,,,,,,,,,,,,To DMid BC,,,,
video 23 09 2022,368.91042381698514,0.0,Labels,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid BC,,", ",,
video 23 09 2022,374.74897777899605,0.0,Labels,35,,,,,,,,,,,,,,,,,From DMid BC,,,,,,,,,,,,,,,,,,
video 23 09 2022,375.96852026399483,0.0,Labels,36,,,,,,,,,,,,,,,,,From DMid BC,,,,,,,,,,,,,,,To DMid DUKE,,,
video 23 09 2022,380.57379061298997,0.0,Labels,37,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To AMid DUKE,,,
video 23 09 2022,382.5880169119992,0.0,Labels,38,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,
video 23 09 2022,383.67889418999994,0.0,Labels,39,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,To DMid BC,,,,
video 23 09 2022,390.98083573799624,0.0,Labels,40,,,,,,,,,,,,,,,,,From DMid BC,,,,,,,,,,,,,,To AMid BC,,,,
video 23 09 2022,399.5885046809933,0.0,Labels,41,,,,,,,,,,,,,,,,,From AMid BC,,,,,,,,,,,,,,,,,,
video 23 09 2022,404.2646387949947,0.0,Labels,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,", ",,
video 23 09 2022,406.83638907098396,0.0,Labels,43,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To D25 DUKE,,,
video 23 09 2022,414.4684218489911,0.0,Labels,44,,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To DMid DUKE,,,
video 23 09 2022,416.0161904739919,0.0,Labels,45,,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,,,
video 23 09 2022,417.50761574498904,0.0,Labels,46,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,To DMid BC,,,,
video 23 09 2022,419.67848222998816,0.0,Labels,47,,,,,,,,,,,,,,,,,From DMid BC,,,,,,,,,,,,,,,,,,
video 23 09 2022,420.9310511639822,0.0,Labels,48,,,,,,,,,,,,,,,,,From DMid BC,,,,,,,,,,,,,,,To DMid DUKE,,,
video 23 09 2022,422.1505467059926,0.0,Labels,49,,,,,,,,,,,,,,,,,From DMid BC,,,,,,,,,,,,,,,To D25 DUKE,,,
video 23 09 2022,434.6765254419928,0.0,Labels,50,,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,,,
video 23 09 2022,444.5991743079927,0.0,Labels,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid BC,,", ",,
video 23 09 2022,447.26121021799327,0.0,Labels,52,,,,,,,,,,,,,,,,,From AMid BC,,,,,,,,,,,,,,To DMid BC,,,,
video 23 09 2022,450.50034640632987,0.0,Labels,53,,,,,,,,,,,,,,,,,From DMid BC,,,,,,,,,,,,,,To AMid BC,,,,
video 23 09 2022,460.5649579123263,0.0,Labels,54,,,,,,,,,,,,,,,,,From AMid BC,,,,,,,,,,,,,,,,,,
video 23 09 2022,466.6639900339999,0.0,Labels,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,", ",,
video 23 09 2022,469.1664293663274,0.0,Labels,56,,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To DMid DUKE,,,
video 23 09 2022,475.06652479532823,0.0,Labels,57,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To AMid DUKE,,,
video 23 09 2022,479.3524971043331,0.0,Labels,58,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,,
video 23 09 2022,480.8585310186588,0.0,Labels,59,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,To DMid BC,,,,
video 23 09 2022,482.433306743999,0.0,Labels,60,,,,,,,,,,,,,,,,,From DMid BC,,,,,,,,,,,,,,To D25 BC,,,,
video 23 09 2022,485.21674933333014,0.0,Labels,61,,,,,,,,,,,,,,,,,From DMid BC,,,,,,,,,,,,,,To DMid BC,,,,
video 23 09 2022,489.3831410089914,0.0,Labels,62,,,,,,,,,,,,,,,,,From DMid BC,,,,,,,,,,,,,,,,,,
video 23 09 2022,496.6152940613236,0.0,Labels,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,", ",,
video 23 09 2022,499.805569220665,0.0,Labels,64,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To D25 DUKE,,,
video 23 09 2022,502.9891746819872,0.0,Labels,65,,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To DMid DUKE,,,
video 23 09 2022,507.14332643699396,0.0,Labels,66,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,
video 23 09 2022,509.11736135499757,0.0,Labels,67,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,To AMid BC,,,,
video 23 09 2022,510.52256559933005,0.0,Labels,68,,,,,,,,,,,,,,,,,From AMid BC,,,,,,,,,,,,,,To A25 BC,,,,
video 23 09 2022,511.92254465532596,0.0,Labels,69,,,,,,,,,,,,,,,,,From AMid BC,,,,,,,,,,,,,,To AMid BC,,,,
video 23 09 2022,513.6096689223326,0.0,Labels,70,,,,,,,,,,,,,,,,,From A25 BC,,,,,,,,,,,,,,To A25 BC,,,,
video 23 09 2022,515.3390590019885,0.0,Labels,71,,,,,,,,,,,,,,,,,From AMid BC,,,,,,,,,,,,,,To AMid BC,,,,
video 23 09 2022,518.3253177853317,0.0,Labels,72,,,,,,,,,,,,,,,,,From AMid BC,,,,,,,,,,,,,,,,,,
video 23 09 2022,526.0515489646556,0.0,Labels,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,", ",,
video 23 09 2022,534.0825495996615,0.0,Labels,74,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,
video 23 09 2022,535.5899966969968,0.0,Labels,75,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,To DMid BC,,,,
video 23 09 2022,545.7740705306509,0.0,Labels,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid BC,,", ",,
video 23 09 2022,556.6234833136562,0.0,Labels,77,,,,,,,,,,,,,,,,,From DMid BC,,,,,,,,,,,,,,To AMid BC,,,,
video 23 09 2022,565.3182984733248,0.0,Labels,78,,,,,,,,,,,,,,,,,From AMid BC,,,,,,,,,,,,,,,,,,
video 23 09 2022,566.8146987346711,0.0,Labels,79,,,,,,,,,,,,,,,,,From AMid BC,,,,,,,,,,,,,,,To DMid DUKE,,,
video 23 09 2022,568.5402183973165,0.0,Labels,80,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,
video 23 09 2022,569.7933493370018,0.0,Labels,81,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,To AMid BC,,,,
video 23 09 2022,581.5153747449922,0.0,Labels,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid BC,,", ",,
video 23 09 2022,593.6403051333233,0.0,Labels,83,,,,,,,,,,,,,,,,,From AMid BC,,,,,,,,,,,,,,,,,,
video 23 09 2022,594.8040472466627,0.0,Labels,84,,,,,,,,,,,,,,,,,From AMid BC,,,,,,,,,,,,,,,To DMid DUKE,,,
video 23 09 2022,599.8266527223159,0.0,Labels,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,", ",,
video 23 09 2022,604.2599043376667,0.0,Labels,86,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To AMid DUKE,,,
video 23 09 2022,614.2926632329968,0.0,Labels,87,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,,
video 23 09 2022,619.6380115459907,0.0,Labels,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 BC,,", ",,
video 23 09 2022,625.6225259536509,0.0,Labels,89,,,,,,,,,,,,,,,,,From D25 BC,,,,,,,,,,,,,,,,,,
video 23 09 2022,627.0433184069902,0.0,Labels,90,,,,,,,,,,,,,,,,,From D25 BC,,,,,,,,,,,,,,,To AMid DUKE,,,
video 23 09 2022,637.7760767263264,0.0,Labels,91,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,To DMid DUKE,,,
video 23 09 2022,645.3889382736593,0.0,Labels,92,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To AMid DUKE,,,
video 23 09 2022,648.3667591979931,0.0,Labels,93,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,,
video 23 09 2022,650.2167147263265,0.0,Labels,94,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,To DMid BC,,,,
video 23 09 2022,656.5931823409803,0.0,Labels,95,,,,,,,,,,,,,,,,,From DMid BC,,,,,,,,,,,,,,,,,,
video 23 09 2022,661.6361247339927,0.0,Labels,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,", ",,
video 23 09 2022,670.7969283043194,0.0,Labels,97,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,
video 23 09 2022,674.6201109476631,0.0,Labels,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid BC,,", ",,
video 23 09 2022,677.3930518479903,0.0,Labels,99,,,,,,,,,,,,,,,,,From DMid BC,,,,,,,,,,,,,,To D25 BC,,,,
video 23 09 2022,680.0950763209956,0.0,Labels,100,,,,,,,,,,,,,,,,,From D25 BC,,,,,,,,,,,,,,To DMid BC,,,,
video 23 09 2022,686.9082392916501,0.0,Labels,101,,,,,,,,,,,,,,,,,From DMid BC,,,,,,,,,,,,,,,,,,
video 23 09 2022,689.1599349856591,0.0,Labels,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid DUKE,", ",,
video 23 09 2022,695.3829669916577,0.0,Labels,103,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,,
video 23 09 2022,704.0800276659837,0.0,Labels,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 BC,,", ",,
video 23 09 2022,711.4594207126657,0.0,Labels,105,,,,,,,,,,,,,,,,,From D25 BC,,,,,,,,,,,,,,,,,,
video 23 09 2022,712.7421012759966,0.0,Labels,106,,,,,,,,,,,,,,,,,From D25 BC,,,,,,,,,,,,,,,To AMid DUKE,,,
video 23 09 2022,717.0431003489853,0.0,Labels,107,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,To A25 DUKE,,,
video 23 09 2022,725.2765475593208,0.0,Labels,108, ,,,,,,,,,,,,,,,Left,,From A25 DUKE,,,,,,,,,,,,,,,,,
video 23 09 2022,745.6596346556656,0.0,Labels,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC DUKE,,,", ",,
video 23 09 2022,746.5063346189971,0.0,Labels,110,,,,,,,,,,,,,,,,,,From ,,,,,,,,,,,,,,To A25 DUKE,,,
video 23 09 2022,748.6433919039993,0.0,Labels,111,,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,To AMid DUKE,,,
video 23 09 2022,754.9035303913251,0.0,Labels,112,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,,
video 23 09 2022,765.0599912166606,0.0,Labels,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 BC,,", ",,
video 23 09 2022,773.0446870936703,0.0,Labels,114,,,,,,,,,,,,,,,,,From D25 BC,,,,,,,,,,,,,,,,,,
video 23 09 2022,774.7096740966527,0.0,Labels,115,,,,,,,,,,,,,,,,,From D25 BC,,,,,,,,,,,,,,,To AMid DUKE,,,
video 23 09 2022,778.8432951820025,0.0,Labels,116,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,To A25 DUKE,,,
video 23 09 2022,779.8725806056677,0.0,Labels,117,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,,
video 23 09 2022,782.2580394406523,0.0,Labels,118,,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,To D25 BC,,,,
video 23 09 2022,784.3262337373299,0.0,Labels,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", ",,
video 23 09 2022,786.1603743553299,0.0,Labels,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To A25 DUKE,", ",,
video 23 09 2022,789.3765651663232,0.0,Labels,121, ,,,,,,,,,,,,,,,Right,,From A25 DUKE,,,,,,,,,,,,,,,,,
video 23 09 2022,799.0266006403274,0.0,Labels,122,,,,,,,,,,,,,,,,,,From A25 DUKE,,CE DUKE,,,,,,,,,,,,,,,
video 23 09 2022,800.2432457859919,0.0,Labels,123,,,,,,,,,,,,,,,,,,From A25 DUKE,,CE DUKE,ACE-0 DUKE,,,,,,,,,,,To Circle DUKE,,,
video 23 09 2022,802.0418372990011,0.0,Labels,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 BC,,", ",,
video 23 09 2022,805.7773993216698,0.0,Labels,125,,,,,,,,,,,,,,,,,From D25 BC,,,,,,,,,,,,,,To DMid BC,,,,
video 23 09 2022,812.4264349713272,0.0,Labels,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid BC,,", ",,
video 23 09 2022,815.576671705333,0.0,Labels,127,,,,,,,,,,,,,,,,,From DMid BC,,,,,,,,,,,,,,To D25 BC,,,,
video 23 09 2022,817.7950236946704,0.0,Labels,128,,,,,,,,,,,,,,,,,From DMid BC,,,,,,,,,,,,,,To DMid BC,,,,
video 23 09 2022,820.7922939449986,0.0,Labels,129,,,,,,,,,,,,,,,,,From D25 BC,,,,,,,,,,,,,,To D25 BC,,,,
video 23 09 2022,825.4169501156557,0.0,Labels,130,,,,,,,,,,,,,,,,,From D25 BC,,,,,,,,,,,,,,,,,,
video 23 09 2022,827.0339116269898,0.0,Labels,131,,,,,,,,,,,,,,,,,From D25 BC,,,,,,,,,,,,,,,To AMid DUKE,,,
video 23 09 2022,829.5921983143219,0.0,Labels,132,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,,
video 23 09 2022,831.445790690662,0.0,Labels,133,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,To DMid BC,,,,
video 23 09 2022,833.7765621163292,0.0,Labels,134,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,To AMid BC,,,,
video 23 09 2022,837.3932365090005,0.0,Labels,135,,,,,,,,,,,,,,,,,From AMid BC,,,,,,,,,,,,,,,,,,
video 23 09 2022,838.366962019652,0.0,Labels,136,,,,,,,,,,,,,,,,,From AMid BC,,,,,,,,,,,,,,,To DMid DUKE,,,
video 23 09 2022,844.0255527959906,0.0,Labels,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,", ",,
video 23 09 2022,846.9442918969902,0.0,Labels,138,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To AMid DUKE,,,
video 23 09 2022,849.1850794163175,0.0,Labels,139,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,To A25 DUKE,,,
video 23 09 2022,862.3609738886572,0.0,Labels,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To A25 DUKE,", ",,
video 23 09 2022,869.5346223123277,0.0,Labels,141,,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,To AMid DUKE,,,
video 23 09 2022,882.8793509326651,0.0,Labels,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid DUKE,", ",,
video 23 09 2022,885.9960006759908,0.0,Labels,143,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,,
video 23 09 2022,887.1375642649829,0.0,Labels,144,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,To D25 BC,,,,
video 23 09 2022,888.9126410846724,0.0,Labels,145,,,,,,,,,,,,,,,,,From D25 BC,,,,,,,,,,,,,,To DMid BC,,,,
video 23 09 2022,893.945657722322,0.0,Labels,146,,,,,,,,,,,,,,,,,From DMid BC,,,,,,,,,,,,,,To AMid BC,,,,
video 23 09 2022,897.8260033139842,0.0,Labels,147,,,,,,,,,,,,,,,,,From AMid BC,,,,,,,,,,,,,,,,,,
video 23 09 2022,903.9802580436613,0.0,Labels,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,", ",,
video 23 09 2022,911.2792463183334,0.0,Labels,149,,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To DMid DUKE,,,
video 23 09 2022,913.8698069769976,0.0,Labels,150,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To D25 DUKE,,,
video 23 09 2022,918.2626385906633,0.0,Labels,151,,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,,,
video 23 09 2022,919.959586011335,0.0,Labels,152,,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,To AMid BC,,,,
video 23 09 2022,921.7023356613284,0.0,Labels,153,,,,,,,,,,,,,,,,,From AMid BC,,,,,,,,,,,,,,,,,,
video 23 09 2022,922.9793501013268,0.0,Labels,154,,,,,,,,,,,,,,,,,From AMid BC,,,,,,,,,,,,,,,To DMid DUKE,,,
video 23 09 2022,930.5857242103277,0.0,Labels,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,", ",,
video 23 09 2022,934.1960277899924,0.0,Labels,156,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,To D25 DUKE,,,
video 23 09 2022,939.2084125199849,0.0,Labels,157,,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To DMid DUKE,,,
video 23 09 2022,941.1789708293323,0.0,Labels,158,,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To AMid DUKE,,,
video 23 09 2022,944.188738882659,0.0,Labels,159,,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,To A25 DUKE,,,
video 23 09 2022,947.0341566796627,0.0,Labels,160, ,,,,,,,,,,,,,,,Left,,From A25 DUKE,,,,,,,,,,,,,,,,,
video 23 09 2022,951.595738307986,0.0,Labels,161,,,,,,,,,,,,,,,,,,From A25 DUKE,,CE DUKE,ACE-0 DUKE,,,,,,,,,,,To Circle DUKE,,,
video 23 09 2022,952.9459008689881,0.0,Labels,162,,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,,
video 23 09 2022,954.4793768413296,0.0,Labels,163,,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,To D25 BC,,,,
video 23 09 2022,964.3293098703161,0.0,Labels,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 BC,,", ",,
video 23 09 2022,971.1864521639944,0.0,Labels,165,,,,,,,,,,,,,,,,,From D25 BC,,,,,,,,,,,,,,To DMid BC,,,,
video 23 09 2022,975.9624496416692,0.0,Labels,166,,,,,,,,,,,,,,,,,From DMid BC,,,,,,,,,,,,,,To AMid BC,,,,
video 23 09 2022,984.0126478876637,0.0,Labels,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To A25 BC,,", ",,
video 23 09 2022,990.2739724599813,0.0,Labels,168,,,,,,,,,,,,,,,,,From A25 BC,,,,,,,,,,,,,,To AMid BC,,,,
video 23 09 2022,996.9459476789924,0.0,Labels,169,,,,,,,,,,,,,,,,,From AMid BC,,,,,,,,,,,,,,To A25 BC,,,,
video 23 09 2022,999.3992620543254,0.0,Labels,170,,,,,,,,,,,,,,,,,From A25 BC,,,,,,,,,,,,,,,,,,
video 23 09 2022,1009.5291984943276,0.0,Labels,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,", ",,
video 23 09 2022,1015.9144969029963,0.0,Labels,172,,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,To DMid DUKE,,,
video 23 09 2022,1019.8237367569848,0.0,Labels,173,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,
video 23 09 2022,1020.9273678496635,0.0,Labels,174,,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,To AMid BC,,,,
video 23 09 2022,1022.4738399909926,0.0,Labels,175,,,,,,,,,,,,,,,,,From AMid BC,,,,,,,,,,,,,,To A25 BC,,,,
video 23 09 2022,1024.9927530689952,0.0,Labels,176, ,,,,,,,,,,,,,,,Left,From A25 BC,,,,,,,,,,,,,,,,,,
