Timeline,Start time,Duration,Row,Instance number, ,25 Build Up,Attack,BS,BS Outcome - Direct Ball Win DUKE,BS Outcome - Direct Ball Win UVA,BS Outcome - Direct turnover DUKE,BS Outcome - Direct turnover UVA,BS Outcome - In Direct Ball Win DUKE,BS Outcome - In Direct Ball Win UVA,BS Outcome - In Direct turnover DUKE,BS Outcome - In Direct turnover UVA,BS Outcome - New BS DUKE,BS Outcome - New BS UVA,Ball Start,Circle Entry,From Zone DUKE,From Zone UVA,Goal Type,Outcome +,Outcome -,Outcome Neutral,Presses,Scouting,Set Piece,Shoot Out,Shoot Out Score,Shoot Outs,Start Type DUKE,Start Type UVA,Start Type UofL,To Zone DUKE,To Zone UVA,To Zone UofL,Ungrouped,Notes,Flags
Duke vs UVA,123.51038894966682,1.0,Start,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 11v11 UVA, In Conf, Home Game, Q0, Regular Season, DUKE 0 - 0  UVA",,
Duke vs UVA,1398.6599988576656,1.0,Start,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 11v11 UVA, In Conf, Home Game, Q1, Regular Season, DUKE 0 - 0  UVA",,
Duke vs UVA,3322.8297803926675,1.0,Start,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 11v11 UVA, In Conf, Home Game, Q2, Regular Season, DUKE 1 - 3  UVA",,
Duke vs UVA,4613.033378956334,1.0,Start,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DUKE 11v11 UVA, In Conf, Home Game, Q3, Regular Season, DUKE 2 - 3  UVA",,
Duke vs UVA,124.68465948133263,0.0,Labels,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,,,", ",,
Duke vs UVA,128.80726994766633,0.0,Labels,2,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,,,,
Duke vs UVA,133.76033183966598,0.0,Labels,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 UVA,,", ",,
Duke vs UVA,135.69368446099998,0.0,Labels,4,,,,,,,,,,,,,,,,,,From D25 UVA,,,,,,,,,,,,,,,To DMid UVA,,,,
Duke vs UVA,137.39909923733333,0.0,Labels,5,,,,,,,,,,,,,,,,,,From D25 UVA,,,,,,,,,,,,,,,To D25 UVA,,,,
Duke vs UVA,147.47682958933322,0.0,Labels,6,,,,,,,,,,,,,,,,,,From D25 UVA,,,,,,,,,,,,,,,,,,,
Duke vs UVA,148.67694768633257,0.0,Labels,7,,,,,,,,,,,,,,,,,,From D25 UVA,,,,,,,,,,,,,,To AMid DUKE,,,,,
Duke vs UVA,150.2072836513334,0.0,Labels,8,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,,,,,
Duke vs UVA,151.25478895033243,0.0,Labels,9,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,To DMid UVA,,,,
Duke vs UVA,152.45083268033224,0.0,Labels,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid UVA,,", ",,
Duke vs UVA,155.40246137399936,0.0,Labels,11,,,,,,,,,,,,,,,,,,From AMid UVA,,,,,,,,,,,,,,,,,,,
Duke vs UVA,156.73914324399976,0.0,Labels,12,,,,,,,,,,,,,,,,,,From AMid UVA,,,,,,,,,,,,,,To DMid DUKE,,,,,
Duke vs UVA,165.14350588499946,0.0,Labels,13,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,,,,
Duke vs UVA,166.46039933066666,0.0,Labels,14,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,To AMid UVA,,,,
Duke vs UVA,169.0452269299989,0.0,Labels,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid UVA,,", ",,
Duke vs UVA,171.260226057666,0.0,Labels,16,,,,,,,,,,,,,,,,,,From AMid UVA,,,,,,,,,,,,,,,To A25 UVA,,,,
Duke vs UVA,173.02669936533343,0.0,Labels,17, ,,,,,,,,,,,,,,,Middle,,From AMid UVA,,,,,,,,,,,,,,,,,,,
Duke vs UVA,175.03782646699946,0.0,Labels,18,,,,,,,,,,,,,,,,,,From A25 UVA,,"Chance UVA, Shot UVA, CE UVA",,,,,,,,,,,,To Circle UVA,,,,,
Duke vs UVA,186.82806193666684,0.0,Labels,19,,,,,,,,,,,,,,,,,,From A25 UVA,,"CE UVA, PC Win UVA",,,,,,,,,,,,To Circle UVA,,,,,
Duke vs UVA,235.78103636266616,0.0,Labels,20,,,,,,,,,,,,,,,,,,,,,,,,,PC,,,,,,,,,,", ",,
Duke vs UVA,244.18715792433323,0.0,Labels,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", ",,
Duke vs UVA,254.88933525100015,0.0,Labels,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,,,", ",,
Duke vs UVA,263.3050764016663,0.0,Labels,23,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,,,,,,
Duke vs UVA,267.16669560633306,0.0,Labels,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To A25 UVA,,", ",,
Duke vs UVA,277.9667887083328,0.0,Labels,25,,,,,,,,,,,,,,,,,,From A25 UVA,,,,,,,,,,,,LC UVA,,,,,,,
Duke vs UVA,278.9914793399994,0.0,Labels,26,,,,,,,,,,,,,,,,,,From ,,,,,,,,,,,,,,,To A25 UVA,,,,
Duke vs UVA,282.79429901866587,0.0,Labels,27,,,,,,,,,,,,,,,,,,From A25 UVA,,,,,,,,,,,,,,,To AMid UVA,,,,
Duke vs UVA,286.43165886899936,0.0,Labels,28,,,,,,,,,,,,,,,,,,From AMid UVA,,,,,,,,,,,,,,,To DMid UVA,,,,
Duke vs UVA,292.7048747096661,0.0,Labels,29,,,,,,,,,,,,,,,,,,From DMid UVA,,,,,,,,,,,,,,,To AMid UVA,,,,
Duke vs UVA,298.38521436600024,0.0,Labels,30,,,,,,,,,,,,,,,,,,From AMid UVA,,,,,,,,,,,,,,,To A25 UVA,,,,
Duke vs UVA,303.30316177633375,0.0,Labels,31,,,,,,,,,,,,,,,,,,From A25 UVA,,,,,,,,,,,,,,,To AMid UVA,,,,
Duke vs UVA,307.8421972163325,0.0,Labels,32,,,,,,,,,,,,,,,,,,From AMid UVA,,,,,,,,,,,,,,,,,,,
Duke vs UVA,313.79330917066653,0.0,Labels,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,,,", ",,
Duke vs UVA,327.9705243763328,0.0,Labels,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,,,", ",,
Duke vs UVA,332.73593587633314,0.0,Labels,35,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,,,,,,
Duke vs UVA,334.04391164433264,0.0,Labels,36,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,,To AMid UVA,,,,
Duke vs UVA,336.3526531686665,0.0,Labels,37,,,,,,,,,,,,,,,,,,From AMid UVA,,,,,,,,,,,,,,,To DMid UVA,,,,
Duke vs UVA,343.085964528333,0.0,Labels,38,,,,,,,,,,,,,,,,,,From DMid UVA,,,,,,,,,,,,,,,,,,,
Duke vs UVA,344.14083213399937,0.0,Labels,39,,,,,,,,,,,,,,,,,,From DMid UVA,,,,,,,,,,,,,,To AMid DUKE,,,,,
Duke vs UVA,345.9246914063327,0.0,Labels,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To A25 DUKE,,,", ",,
Duke vs UVA,354.79024335999986,0.0,Labels,41,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,,,,,
Duke vs UVA,356.458547583999,0.0,Labels,42,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,To D25 UVA,,,,
Duke vs UVA,358.9075317556669,0.0,Labels,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid UVA,,", ",,
Duke vs UVA,363.6356512613325,0.0,Labels,44,,,,,,,,,,,,,,,,,,From DMid UVA,,,,,,,,,,,,,,,To AMid UVA,,,,
Duke vs UVA,366.60577866633344,0.0,Labels,45,,,,,,,,,,,,,,,,,,From AMid UVA,,,,,,,,,,,,,,,,,,,
Duke vs UVA,367.7505133603329,0.0,Labels,46,,,,,,,,,,,,,,,,,,From AMid UVA,,,,,,,,,,,,,,To DMid DUKE,,,,,
Duke vs UVA,368.99773857533273,0.0,Labels,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid DUKE,,,", ",,
Duke vs UVA,379.1390846493332,0.0,Labels,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid DUKE,,,", ",,
Duke vs UVA,393.1681639063327,0.0,Labels,49,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,,,,,
Duke vs UVA,404.13956717533324,0.0,Labels,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 UVA,,", ",,
Duke vs UVA,407.72255084600005,0.0,Labels,51,,,,,,,,,,,,,,,,,,From D25 UVA,,,,,,,,,,,,,,,,,,,
Duke vs UVA,408.59245799066565,0.0,Labels,52,,,,,,,,,,,,,,,,,,From D25 UVA,,,,,,,,,,,,,,To DMid DUKE,,,,,
Duke vs UVA,410.656967015333,0.0,Labels,53,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,To AMid DUKE,,,,,
Duke vs UVA,417.13288733566634,0.0,Labels,54,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,To A25 DUKE,,,,,
Duke vs UVA,421.80712350733336,0.0,Labels,55,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,,,,,
Duke vs UVA,423.12304395299947,0.0,Labels,56,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,To D25 UVA,,,,
Duke vs UVA,429.72452926633264,0.0,Labels,57,,,,,,,,,,,,,,,,,,From D25 UVA,,,,,,,,,,,,,,,,,,,
Duke vs UVA,430.761394275999,0.0,Labels,58,,,,,,,,,,,,,,,,,,From D25 UVA,,,,,,,,,,,,,,To A25 DUKE,,,,,
Duke vs UVA,436.61714710499956,0.0,Labels,59,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,To A25 DUKE,,,,,
Duke vs UVA,441.41725401633306,0.0,Labels,60, ,,,,,,,,,,,,,,,Right,From A25 DUKE,,,,,,,,,,,,,,,,,,,,
Duke vs UVA,446.60475632266593,0.0,Labels,61,,,,,,,,,,,,,,,,,From A25 DUKE,,,CE DUKE,ACE-0 DUKE,,,,,,,,,,,To Circle DUKE,,,,,
Duke vs UVA,447.89716782366645,0.0,Labels,62,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,,,,,
Duke vs UVA,455.7134311863335,0.0,Labels,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 UVA,,", ",,
Duke vs UVA,461.6610794846664,0.0,Labels,64,,,,,,,,,,,,,,,,,,From D25 UVA,,,,,,,,,,,,,,,To DMid UVA,,,,
Duke vs UVA,464.0168040986665,0.0,Labels,65,,,,,,,,,,,,,,,,,,From DMid UVA,,,,,,,,,,,,,,,To AMid UVA,,,,
Duke vs UVA,472.86228130166677,0.0,Labels,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid UVA,,", ",,
Duke vs UVA,481.30931879766564,0.0,Labels,67,,,,,,,,,,,,,,,,,,From AMid UVA,,,,,,,,,,,,,,,To A25 UVA,,,,
Duke vs UVA,486.94307877166636,0.0,Labels,68,,,,,,,,,,,,,,,,,,From A25 UVA,,,,,,,,,,,,,,,,,,,
Duke vs UVA,494.7543333916663,0.0,Labels,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,,,", ",,
Duke vs UVA,502.48780359766636,0.0,Labels,70,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,,,,,,
Duke vs UVA,504.71254037166693,0.0,Labels,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid UVA,,", ",,
Duke vs UVA,506.92175459666623,0.0,Labels,72,,,,,,,,,,,,,,,,,,From DMid UVA,,,,,,,,,,,,,,,To AMid UVA,,,,
Duke vs UVA,512.6962980516666,0.0,Labels,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid UVA,,", ",,
Duke vs UVA,514.8142958096656,0.0,Labels,74,,,,,,,,,,,,,,,,,,From AMid UVA,,,,,,,,,,,,,,,To A25 UVA,,,,
Duke vs UVA,518.349310447666,0.0,Labels,75, ,,,,,,,,,,,,,,,Middle,,From A25 UVA,,,,,,,,,,,,,,,,,,,
Duke vs UVA,521.0454662946659,0.0,Labels,76,,,,,,,,,,,,,,,,,,From A25 UVA,,"CE UVA, PC Win UVA",,,,,,,,,,,,To Circle UVA,,,,,
Duke vs UVA,574.4550084599989,0.0,Labels,77,,,,,,,,,,,,,,,,,,,,,,,,,PC,,,,,,,,,,", ",,
Duke vs UVA,589.1363780133327,0.0,Labels,78,,,,,,,,,,,,,,,,,,,,", PC Win UVA",,,,,,,,,,,,To Circle DUKE,,,", ",,
Duke vs UVA,614.84773255,0.0,Labels,79,,,,,,,,,,,,,,,,,,,,,,,,,PC,,,,,,,,,,", ",,
Duke vs UVA,624.5714456533327,0.0,Labels,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To A25 UVA,,", ",,
Duke vs UVA,626.6432297396664,0.0,Labels,81, ,,,,,,,,,,,,,,,Middle,,From A25 UVA,,,,,,,,,,,,,,,,,,,
Duke vs UVA,627.8966408046664,0.0,Labels,82,,,,,,,,,,,,,,,,,,From A25 UVA,,"Chance UVA, Shot UVA, ",,,,,,,,,,,,To Circle UVA,,,,,
Duke vs UVA,630.8343586793328,0.0,Labels,83,,,,,,,,,,,,,,,,,,From A25 UVA,,", PC Win UVA",,,,,,,,,,,,To Circle UVA,,,,,
Duke vs UVA,647.6774059359993,0.0,Labels,84,,,,,,,,,,,,,,,,,,,,,,,,,PC,,,,,,,,,,", ",,
Duke vs UVA,653.5973178239999,0.0,Labels,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,", ",,
Duke vs UVA,654.966032847999,0.0,Labels,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,,,", ",,
Duke vs UVA,656.3674080150001,0.0,Labels,87,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,To DMid DUKE,,,,,
Duke vs UVA,658.3164360829993,0.0,Labels,88,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,To AMid DUKE,,,,,
Duke vs UVA,660.074033304999,0.0,Labels,89,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,To A25 DUKE,,,,,
Duke vs UVA,663.432036488,0.0,Labels,90, ,,,,,,,,,,,,,,,Right,From A25 DUKE,,,,,,,,,,,,,,,,,,,,
Duke vs UVA,673.7677753789995,0.0,Labels,91,,,,,,,,,,,,,,,,,From A25 DUKE,,,CE DUKE,ACE-0 DUKE,,,,,,,,,,,To Circle DUKE,,,,,
Duke vs UVA,674.933507739,0.0,Labels,92,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,,,,,
Duke vs UVA,676.0256135389998,0.0,Labels,93,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,To D25 UVA,,,,
Duke vs UVA,677.132194514666,0.0,Labels,94,,,,,,,,,,,,,,,,,,From D25 UVA,,,,,,,,,,,,,,,,,,,
Duke vs UVA,679.2258809409991,0.0,Labels,95,,,,,,,,,,,,,,,,,,From D25 UVA,,,,,,,,,,,,,,To A25 DUKE,,,,,
Duke vs UVA,683.3116867529998,0.0,Labels,96,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,,,,,
Duke vs UVA,685.3196344790003,0.0,Labels,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 UVA,,", ",,
Duke vs UVA,687.8190858490001,0.0,Labels,98,,,,,,,,,,,,,,,,,,From D25 UVA,,,,,,,,,,,,,,,To DMid UVA,,,,
Duke vs UVA,688.8710931639994,0.0,Labels,99,,,,,,,,,,,,,,,,,,From D25 UVA,,,,,,,,,,,,,,,To AMid UVA,,,,
Duke vs UVA,691.134065063999,0.0,Labels,100,,,,,,,,,,,,,,,,,,From DMid UVA,,,,,,,,,,,,,,,,,,,
Duke vs UVA,702.9292425479995,0.0,Labels,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,,,", ",,
Duke vs UVA,708.7278324649997,0.0,Labels,102,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,,,,,,
Duke vs UVA,710.6472018579998,0.0,Labels,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid UVA,,", ",,
Duke vs UVA,713.0865043349999,0.0,Labels,104,,,,,,,,,,,,,,,,,,From DMid UVA,,,,,,,,,,,,,,,To AMid UVA,,,,
Duke vs UVA,715.4389907439999,0.0,Labels,105,,,,,,,,,,,,,,,,,,From DMid UVA,,,,,,,,,,,,,,,,,,,
Duke vs UVA,717.3121477059992,0.0,Labels,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,,,", ",,
Duke vs UVA,728.0640686999998,0.0,Labels,107,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,To D25 DUKE,,,,,
Duke vs UVA,731.7604314879999,0.0,Labels,108,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,To DMid DUKE,,,,,
Duke vs UVA,734.6283116479999,0.0,Labels,109,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,,,,
Duke vs UVA,736.048638605999,0.0,Labels,110,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,To DMid UVA,,,,
Duke vs UVA,746.9923396369996,0.0,Labels,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid UVA,,", ",,
Duke vs UVA,754.0015901389992,0.0,Labels,112,,,,,,,,,,,,,,,,,,From AMid UVA,,,,,,,,,,,,,,,To A25 UVA,,,,
Duke vs UVA,766.5735343699997,0.0,Labels,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To A25 UVA,,", ",,
Duke vs UVA,773.0908381649995,0.0,Labels,114,,,,,,,,,,,,,,,,,,From A25 UVA,,,,,,,,,,,,,,,,,,,
Duke vs UVA,774.2915428669997,0.0,Labels,115,,,,,,,,,,,,,,,,,,From A25 UVA,,,,,,,,,,,,,,To DMid DUKE,,,,,
Duke vs UVA,779.6639842029997,0.0,Labels,116,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,,,,
Duke vs UVA,780.843452433,0.0,Labels,117,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,To AMid UVA,,,,
Duke vs UVA,781.8839787849993,0.0,Labels,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To A25 UVA,,", ",,
Duke vs UVA,796.2691960709999,0.0,Labels,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC UVA,,,,,", ",,
Duke vs UVA,796.9188250169996,0.0,Labels,120,,,,,,,,,,,,,,,,,,From ,,,,,,,,,,,,,,,To A25 UVA,,,,
Duke vs UVA,801.4960587299993,0.0,Labels,121,,,,,,,,,,,,,,,,,,From A25 UVA,,,,,,,,,,,,,,,To AMid UVA,,,,
Duke vs UVA,819.2983778750003,0.0,Labels,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC UVA,,,,,", ",,
Duke vs UVA,820.5464094756671,0.0,Labels,123,,,,,,,,,,,,,,,,,,From ,,,,,,,,,,,,,,,To A25 UVA,,,,
Duke vs UVA,831.1383117886663,0.0,Labels,124,,,,,,,,,,,,,,,,,,From A25 UVA,,,,,,,,,,,,,,,,,,,
Duke vs UVA,834.5235372196654,0.0,Labels,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,,,", ",,
Duke vs UVA,844.7323624116669,0.0,Labels,126,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,To DMid DUKE,,,,,
Duke vs UVA,848.1671614236666,0.0,Labels,127,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,,,,
Duke vs UVA,849.3545159676661,0.0,Labels,128,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,To AMid UVA,,,,
Duke vs UVA,852.0199813536661,0.0,Labels,129,,,,,,,,,,,,,,,,,,From AMid UVA,,,,,,,,,,,,,,,To A25 UVA,,,,
Duke vs UVA,857.2303060636663,0.0,Labels,130,,,,,,,,,,,,,,,,,,From A25 UVA,,,,,,,,,,,,,,,,,,,
Duke vs UVA,870.5616333016659,0.0,Labels,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,,,", ",,
Duke vs UVA,877.2021410436669,0.0,Labels,132,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,To DMid DUKE,,,,,
Duke vs UVA,879.3919963446664,0.0,Labels,133,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,,,,,,
Duke vs UVA,883.4934745776667,0.0,Labels,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid UVA,,", ",,
Duke vs UVA,889.5241171116664,0.0,Labels,135,,,,,,,,,,,,,,,,,,From AMid UVA,,,,,,,,,,,,,,,To A25 UVA,,,,
Duke vs UVA,892.0093104626669,0.0,Labels,136,,,,,,,,,,,,,,,,,,From AMid UVA,,,,,,,,,,,,,,,To AMid UVA,,,,
Duke vs UVA,904.8435689886658,0.0,Labels,137,,,,,,,,,,,,,,,,,,From AMid UVA,,,,,,,,,,,,,,,To A25 UVA,,,,
Duke vs UVA,908.8747866606665,0.0,Labels,138,,,,,,,,,,,,,,,,,,From A25 UVA,,,,,,,,,,,,,,,,,,,
Duke vs UVA,909.9043421466661,0.0,Labels,139,,,,,,,,,,,,,,,,,,From A25 UVA,,,,,,,,,,,,,,To D25 DUKE,,,,,
Duke vs UVA,911.9949717516664,0.0,Labels,140,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,To DMid DUKE,,,,,
Duke vs UVA,925.4362082926662,0.0,Labels,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To DMid DUKE,,,", ",,
Duke vs UVA,932.809864820666,0.0,Labels,142,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,,,,
Duke vs UVA,939.4139807866661,0.0,Labels,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To AMid UVA,,", ",,
Duke vs UVA,941.9089292526664,0.0,Labels,144,,,,,,,,,,,,,,,,,,From AMid UVA,,,,,,,,,,,,,,,To A25 UVA,,,,
Duke vs UVA,945.1293303916658,0.0,Labels,145, ,,,,,,,,,,,,,,,Right,,From A25 UVA,,,,,,,,,,,,,,,,,,,
Duke vs UVA,948.8144545736664,0.0,Labels,146,,,,,,,,,,,,,,,,,,From A25 UVA,,CE UVA,ACE-0 UVA,,,,,,,,,,,To Circle UVA,,,,,
Duke vs UVA,949.8932417716658,0.0,Labels,147,,,,,,,,,,,,,,,,,,From A25 UVA,,,,,,,,,,,,,,,,,,,
Duke vs UVA,950.8232949866659,0.0,Labels,148,,,,,,,,,,,,,,,,,,From A25 UVA,,,,,,,,,,,,,,To D25 DUKE,,,,,
Duke vs UVA,953.0141759426662,0.0,Labels,149,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,To DMid DUKE,,,,,
Duke vs UVA,955.7107107206664,0.0,Labels,150,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,,,,,
Duke vs UVA,956.7342410846663,0.0,Labels,151,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,To AMid UVA,,,,
Duke vs UVA,958.261335772666,0.0,Labels,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To A25 UVA,,", ",,
Duke vs UVA,961.6145671269991,0.0,Labels,153, ,,,,,,,,,,,,,,,Middle,,From AMid UVA,,,,,,,,,,,,,,,,,,,
Duke vs UVA,964.5485481256666,0.0,Labels,154,,,,,,,,,,,,,,,,,,From A25 UVA,,"Chance UVA, Shot UVA, CE UVA",,,,,,,,,,,,To Circle UVA,,,,,
Duke vs UVA,966.7643308536665,0.0,Labels,155,,,,,,,,,,,,,,,,,,From A25 UVA,,,,,,,,,,,,,,,,,,,
Duke vs UVA,971.7240456029994,0.0,Labels,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 DUKE,,,", ",,
Duke vs UVA,979.2745025416662,0.0,Labels,157,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,To DMid DUKE,,,,,
Duke vs UVA,983.4413716943324,0.0,Labels,158,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,To D25 DUKE,,,,,
Duke vs UVA,989.4747491766659,0.0,Labels,159,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,To DMid DUKE,,,,,
Duke vs UVA,991.5579034989992,0.0,Labels,160,,,,,,,,,,,,,,,,,From D25 DUKE,,,,,,,,,,,,,,,,,,,,
Duke vs UVA,992.8415020353333,0.0,Labels,161,,,,,,,,,,,,,,,,,From DMid DUKE,,,,,,,,,,,,,,,,To AMid UVA,,,,
Duke vs UVA,995.3617596659991,0.0,Labels,162,,,,,,,,,,,,,,,,,,From AMid UVA,,,,,,,,,,,,,,,,,,,
Duke vs UVA,996.4675198743322,0.0,Labels,163,,,,,,,,,,,,,,,,,,From AMid UVA,,,,,,,,,,,,,,To DMid DUKE,,,,,
Duke vs UVA,997.700274243,0.0,Labels,164,,,,,,,,,,,,,,,,,,From AMid UVA,,,,,,,,,,,,,,To AMid DUKE,,,,,
Duke vs UVA,1002.4351792250001,0.0,Labels,165,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,,,,,
Duke vs UVA,1003.6592884836664,0.0,Labels,166,,,,,,,,,,,,,,,,,From AMid DUKE,,,,,,,,,,,,,,,,To D25 UVA,,,,
Duke vs UVA,1009.0087725143333,0.0,Labels,167,,,,,,,,,,,,,,,,,,From D25 UVA,,,,,,,,,,,,,,,,,,,
Duke vs UVA,1015.2796045156662,0.0,Labels,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To A25 DUKE,,,", ",,
Duke vs UVA,1026.7115031926664,0.0,Labels,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To A25 DUKE,,,", ",,
Duke vs UVA,1037.242182994666,0.0,Labels,170,,,,,,,,,,,,,,,,,From A25 DUKE,,,,,,,,,,,,,,,,,,,,
Duke vs UVA,1048.4240317073331,0.0,Labels,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,To D25 UVA,,", ",,
Duke vs UVA,1053.4920883356654,0.0,Labels,172,,,,,,,,,,,,,,,,,,From D25 UVA,,,,,,,,,,,,,,,,,,,
Duke vs UVA,1059.345684134666,0.0,Labels,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC DUKE,,,,,,", ",,
