Timeline,Start time,Duration,Row,Instance number,, ,1. Teams,1st Phase,1st Runner,2. Time,25 Build Up,2nd Phase,3. Score,8. Shot/Goal Type,Actor,Attack,BB,BS,BS Outcome - Direct Ball Win DUKE,BS Outcome - Direct Ball Win Duke,BS Outcome - Direct Ball Win LONG,BS Outcome - Direct Ball Win Rutgers,BS Outcome - Direct Ball Win SJU,BS Outcome - Direct turnover DUKE,BS Outcome - Direct turnover Duke,BS Outcome - Direct turnover LONG,BS Outcome - Direct turnover Rutgers,BS Outcome - Direct turnover SJU,BS Outcome - In Direct Ball Win DUKE,BS Outcome - In Direct Ball Win Duke,BS Outcome - In Direct Ball Win LONG,BS Outcome - In Direct Ball Win Rutgers,BS Outcome - In Direct Ball Win SJU,BS Outcome - In Direct turnover DUKE,BS Outcome - In Direct turnover Duke,BS Outcome - In Direct turnover LONG,BS Outcome - In Direct turnover Rutgers,BS Outcome - In Direct turnover SJU,BS Outcome - New BS DUKE,BS Outcome - New BS Duke,BS Outcome - New BS LONG,BS Outcome - New BS Rutgers,BS Outcome - New BS SJU,Ball Position,Ball Start,Build Zone,Circle Entry,Circle Zone,Competition,Eliminations,End Pos,From Zone DUKE,From Zone Duke,From Zone LONG,From Zone Rutgers,From Zone SJU,Goal Type,Goalie,Location,Neutral,Outcome +,Outcome -,Outcome Neutral,Presses,Result,Routine,Scouting,Set Piece,Shoot Out,Shoot Out Score,Shoot Outs,Shot Selection,Special,Start Pos,Start Type DUKE,Start Type Duke,Start Type LONG,Start Type RUTG,Start Type Rutgers,Start Type SJU,Stopper,Target,To Zone DUKE,To Zone Duke,To Zone LONG,To Zone RUTG,To Zone Rutgers,To Zone SJU,Trap Fail,Trap Move,Traps,vs,Ungrouped,Notes,Flags
Duke_NC__Colgate_NY.SEP-18-2022,0.0,12.0,Colgate,1,,,,Goal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,,,,,,,,R1 Tip,,,,,,,,1-3,,,,,,,,,,,,,,,,,Short Push,,"Actor, Routine, Outcome",,
Duke_NC__Colgate_NY.SEP-18-2022,0.0,12.0,Colgate,2,,,,Goal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,,,,,,,,"L1 Tip, Flick",,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 1,,"Actor, Routine, Outcome",,
Duke_NC__Colgate_NY.SEP-18-2022,0.0,12.0,Colgate,3,,,,Re-Award,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 2x Line,,,,,,,,,,,,,,,,,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 2,,"Actor, Routine, Outcome",,
Duke_NC__Colgate_NY.SEP-18-2022,0.0,12.0,Colgate,4,,,,Save,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,,,,,,,,Flick,,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 2,,"Actor, Routine, Outcome",,
Duke_NC__Colgate_NY.SEP-18-2022,0.0,12.0,Colgate,5,,,,Goal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,,,,,,,,R1 Tip,,,,,,,,1-3,,,,,,,,,,,,,,,,,Short Push,,"Actor, Routine, Outcome",,
Duke_NC__Colgate_NY.SEP-18-2022,0.0,12.0,Colgate,6,,,,Skill Error,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,,,,,,,,,,,,,,,,Shot,,,,,,,,1-3,,,,,,,,,,,,,,,Mistrap,,,,"Actor, Routine, Outcome",,
Duke_NC__Colgate_NY.SEP-18-2022,0.0,12.0,Colgate,7,,,,Miss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,,,,,,,,"Flick, Giver Tip",,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 1,,"Actor, Routine, Outcome",,
Duke_NC__Colgate_NY.SEP-18-2022,0.0,12.0,Colgate,8,,,,"Trail Block, Fly Block",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,None,,,,,,,Flick,,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 1,,"Actor, Routine, Outcome",,
Duke_NC__Colgate_NY.SEP-18-2022,0.0,12.0,Colgate,9,,,,Save,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,,,,,,,,Shot,,,,,,,,1-3,,,,,,,,,,,,,,,Mistrap,,,,"Actor, Routine, Outcome",,
Duke_NC__Colgate_NY.SEP-18-2022,0.0,12.0,Colgate,10,,,,Save,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,,,,,,,,Shot,,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 2,,"Actor, Routine, Outcome",,
Duke_NC__Colgate_NY.SEP-18-2022,0.0,12.0,Colgate,11,,,,Save,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,,,,,,,,R1 Tip,,,,,,,,1-3,,,,,,,,,,,,,,,,,Short Push,,"Actor, Routine, Outcome",,
Duke_NC__Colgate_NY.SEP-18-2022,0.0,12.0,Colgate,12,,,,Goal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Low,,,,,,,,,,,,,,,Shot,,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 2,,"Actor, Routine, Outcome",,
WAKE_v_Duke_10222.OCT-02-2022,0.0,26.643128991127014,Wake,0,,,,Miss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,,,,,,,,"Right Option, Shot",,,,,,,,1-3,,,,,,,,,,,,,,,,,Short Push,,"Outcome, Actor, Routine",,
WAKE_v_Duke_10222.OCT-02-2022,0.0,24.13962996006012,Wake,1,,,,"Miss, Trail Block",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,,,,,,,,L1 Tip,,,,,,,,1-3,,,,,,,,,,,,,,,,,Short Push,,"Outcome, Actor, Routine",,
WAKE_v_Duke_10222.OCT-02-2022,0.0,47.557536005973816,Wake,2,,,,Miss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Wide,,,,,,,,,,,,,,,"Right Option, Shot",,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 1,,"Outcome, Actor, Routine",,
WAKE_v_Duke_10222.OCT-02-2022,0.0,25.21259891986847,Wake,3,,,,"Trail Block, Save",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,,,,,,,,"Left Option, Shot",,,,,,,,1-3,,,,,,,,,,,,,,,,Wrap Right,"Trap 2, Moving",,"Outcome, Actor, Routine",,
WAKE_v_Duke_10222.OCT-02-2022,0.0,16.602373003959656,Wake,4,,,,Save,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,,,,,,,,"Flick, Giver Tip",,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 1,,"Outcome, Actor, Routine",,
WAKE_v_Duke_10222.OCT-02-2022,0.0,28.650241017341614,Wake,5,,,,"Save, Fly Block",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,None,,,,,,,Flick,,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 1,,"Outcome, Actor, Routine",,
WAKE_v_Duke_10222.OCT-02-2022,0.0,11.690472960472107,Wake,6,,,,Fly Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,None,,,,,,,,,,,,,,,1-3,,,,,,,,,,,,,,,,,Short Push,,"Outcome, Actor, Routine",,
WAKE_v_Duke_10222.OCT-02-2022,0.0,32.66888499259949,Wake,7,,,,Save,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-3 Tight,,,,,,,,,,,,,,,"Right Option, Shot, L1 Tip",,,,,,,,1-3,,,,,,,,,,,,,,,,,,,"Outcome, Actor, Routine",,
WAKE_v_Duke_10222.OCT-02-2022,0.0,28.988558053970337,Wake,8,,,,Fly Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Wide,,,,,,,,None,,,,,,,Shot,,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 1,,"Outcome, Actor, Routine",,
Virginia__Duke_NC.OCT-07-2022,0.0,12.0,UVA,0,,,,"Trail Block, Goal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 2x Line,,,,,,,,,,,,,,,R1 Tip,,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 1,,"Outcome, Actor, Routine",,
Duke_NC__Rutgers.AUG-26-2022,0.0,9.899385610000309,Rutgers,0,,,,Save,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Wide,,,,,,,,,,,,,,,Shot,,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 1,,"Actor, Routine, Outcome",,
Duke_NC__Rutgers.AUG-26-2022,0.0,21.271991100999912,Rutgers,1,,,,Trail Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Wide,,,,,,,,,,,,,,,Shot,,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 1,,"Actor, Routine, Outcome",,
Duke_NC__Rutgers.AUG-26-2022,0.0,13.282654365333656,Rutgers,2,,,,Miss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Wide,,,,,,,,,,,,,,,"Shot, L1 Tip",,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 2,,"Actor, Routine, Outcome",,
Duke_NC__Rutgers.AUG-26-2022,0.0,9.897988473000623,Rutgers,3,,,,Fly Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,None,,,,,,,,,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 1,,"Actor, Routine, Outcome",,
Duke_NC__Rutgers.AUG-26-2022,0.0,10.03275023399965,Rutgers,4,,,,Fly Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,,,,,,,,,None,,,,,,,vs 3 Def,,,,,,,,1-2,,,,,,,,,,,,,,,,,Single,,"Actor, Routine, Outcome",,
Duke_NC__Rutgers.AUG-26-2022,0.0,11.727649181999368,Rutgers,5,,,,Fly Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,,,,,,,,,None,,,,,,,"vs 3 Def, Left Option",,,,,,,,1-2,,,,,,,,,,,,,,,,,Single,,"Actor, Routine, Outcome",,
Duke_NC_vs_Northwestern_IL.SEP-02-2022,0.0,12.0,Northwestern,0,,,Duke,Save,,Q1,,,1:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Wide,,,,,,,,,,,,,,,Shot,,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 2,,"Outcome, Actor, Routine",,
Duke_NC_vs_Northwestern_IL.SEP-02-2022,0.0,12.0,Northwestern,1,,,Duke,Miss,,Q2,,,1:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Wide,,,,,,,,,,,,,,,Shot,,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 2,,"Outcome, Actor, Routine",,
Duke_NC_vs_Northwestern_IL.SEP-02-2022,0.0,12.0,Northwestern,2,,,Duke,Fly Block,,Q2,,,1:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Wide,,,,,,,,None,,,,,,,"Left Option, Shot",,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 1,,"Outcome, Actor, Routine",,
Duke_NC_vs_Northwestern_IL.SEP-02-2022,0.0,12.0,Northwestern,3,,,Duke,Miss,,Q2,,,1:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,,,,,,,,"Run, Shot",,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 1,,"Outcome, Actor, Routine",,
Duke_NC_vs_Northwestern_IL.SEP-02-2022,0.0,12.0,Northwestern,4,,,Northwestern,Save,,Q4,,,2:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Round 2, Round 2",,,,,,,,,,,,,,,,,Shot,,,,,,,,1-3,,,,,,,,,,,,,,,,Right,"Moving, Trap 2, Trap 2",,"Outcome, Actor, Routine",,
Duke_NC_vs_Northwestern_IL.SEP-02-2022,0.0,12.0,Northwestern,5,,,Northwestern,Save,,Q4,,,2:0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,,,,,,,,,,,,,,,,"Right Option, Shot",,,,,,,,1-3,,,,,,,,,,,,,,,,Wrap Right,"Trap 2, Moving",,"Outcome, Actor, Routine",,
Boston_College__Duke_NC.SEP-23-2022,0.0,12.0,BC,0,,,,Fly Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,None,,,,,,,Shot,,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 2,,"Actor, Outcome, Routine",,
Boston_College__Duke_NC.SEP-23-2022,0.0,12.0,BC,1,,,,Save,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,,,,,,,,"Shot, L1 Tip, R1 Tip",,,,,,,,1-3,,,,,,,,,,,,,,,,,Short Push,,"Actor, Outcome, Routine",,
Boston_College__Duke_NC.SEP-23-2022,0.0,12.0,BC,2,,,,Miss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,,,,,,,,"Left Option, Broken Play",,,,,,,,"1-3, 1-3",,,,,,,,,,,,,,,,Wrap Right,"Trap 2, Moving",,"Actor, Outcome, Routine, Actor, Outcome, Routine",,
UR v Duke,0.0,12.0,Richmond,0,,,,Goal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Wide,,,,,,,,,,,,,,,Flick,,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 1,,"Actor, Routine, Outcome",,
Duke_NC_vs_Wake.NOV-01-2022,0.0,18.0,Wake 2,0,,,,"Fly Block, Re-Award",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,None,,,,,,,"Left Option, Right Option, Shot",,,,,,,,1-3,,,,,,,,,,,,,,,,Right,"Trap 2, Moving",,"Outcome, Actor, Routine",,
Duke_NC_vs_Wake.NOV-01-2022,0.0,18.0,Wake 2,1,,,,"Fly Block, Miss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,None,,,,,,,"Shot, Shot",,,,,,,,1-3,,,,,,,,,,,,,,,,,Short Push,,"Outcome, Actor, Routine",,
Duke_NC_vs_Wake.NOV-01-2022,0.0,18.0,Wake 2,2,,,,Fly Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,None,,,,,,,Flick,,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 2,,"Outcome, Actor, Routine",,
Duke_NC_vs_Wake.NOV-01-2022,0.0,18.0,Wake 2,3,,,,Trail Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,,,,,,,,Shot,,,,,,,,"1-3, 1-3",,,,,,,,,,,,,,,,,Trap 2,,"Outcome, Actor, Routine, Outcome, Actor, Routine",,
Duke_NC_vs_Wake.NOV-01-2022,0.0,18.0,Wake 2,4,,,,Trail Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,,,,,,,,"Right Option, Shot",,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 1,,"Outcome, Actor, Routine",,
North_Carolina_NC__Duke_NC.OCT-29-2022,0.0,12.0,UNC 2,0,,,,"Fly Block, Save",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,None,,,,,,,Flick,,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 2,,"Routine, Actor, Outcome",,
North_Carolina_NC__Duke_NC.OCT-29-2022,0.0,12.0,UNC 2,1,,,,Trail Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,,,,,,,,"Left Option, Shot, R1 Tip",,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 2,,"Routine, Actor, Outcome",,
North_Carolina_NC__Duke_NC.OCT-29-2022,0.0,12.0,UNC 2,2,,,,Trail Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,,,,,,,,,,"Right Option, Shot",,,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 1,,"Routine, Actor, Outcome",,
Duke_NC__Longwood.OCT-26-2022,0.0,12.601452165003849,Longwood,0,,,,Goal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,PC,,,,Goal DUKE,,,,,Flick,,PC,,,,,,1-3,,,,,,,,,To Circle DUKE,,,,,,,,Trap 2,,"Home Game, DUKE 0 - 0  LONG, Q1, DUKE 11v11 LONG, PC, Regular Season, In Conf, Routine, Actor, Outcome",,
Duke_NC__Longwood.OCT-26-2022,0.0,13.336137214002292,Longwood,1,,,,"Trail Block, Goal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Tight,,,,,,PC,,,,Goal DUKE,,,,,"Left Option, Shot, R1 Tip",,PC,,,,,,1-3,,,,,,,,,To Circle DUKE,,,,,,,,Trap 1,,"Home Game, DUKE 1 - 0  LONG, Q1, DUKE 11v11 LONG, PC, Regular Season, In Conf, Routine, Actor, Outcome",,
Duke_NC__Longwood.OCT-26-2022,0.0,9.602273931000354,Longwood,2,,,,Trail Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Low,,,,,,,,,,,,,,,"Left Option, R1 Tip",,PC,,,,,,1-3,,,,,,,,,,,,,,,,,Trap 1,,"Home Game, DUKE 2 - 0  LONG, Q1, DUKE 11v11 LONG, PC, Regular Season, In Conf, Routine, Actor, Outcome",,
Duke_NC__Longwood.OCT-26-2022,0.0,13.08893203701109,Longwood,3,,,,Goal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Low,,,,,,PC,,,,Goal DUKE,,,,,"Shot, R1 Tip, L1 Tip",,PC,,,,,,1-3,,,,,,,,,To Circle DUKE,,,,,,,,Short Push,,"Home Game, DUKE 2 - 0  LONG, Q1, DUKE 11v11 LONG, PC, Regular Season, In Conf, Routine, Actor, Outcome",,
Duke_NC__Longwood.OCT-26-2022,0.0,10.962482323994209,Longwood,4,,,,Save,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Round 2,,1-3 Wide,,,,,,,,,,,"Turnover, Foul Against",,,,"Right Option, Shot",,PC,,,,,,1-3,,,,,,,,,,,,,,,,,Short Push,,"Home Game, DUKE 4 - 0  LONG, Q3, DUKE 11v11 LONG, PC, Regular Season, In Conf, Routine, Actor, Outcome",,
Duke_NC__Longwood.OCT-26-2022,0.0,9.692736465789494,Longwood,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Round 2, Round 2",,,,,,,,,,,,,"Turnover, Interception",,,,,,PC,,,,,,1-3,,,,,,,,,,,,,,,Mistrap,,Trap 2,,"Home Game, DUKE 5 - 0  LONG, Q4, DUKE 11v11 LONG, PC, Regular Season, In Conf, Routine, Actor, Outcome",,
